,complexity,method,tsr,explanation
0,7.142073547232643,GS,True,Saliency_PTY'>
1,7.229596217266077,GS,True,Saliency_PTY'>
2,7.109447429062557,GS,True,Saliency_PTY'>
3,7.107620497245796,GS,True,Saliency_PTY'>
4,7.233329468732315,GS,True,Saliency_PTY'>
5,7.2734825325954375,GS,True,Saliency_PTY'>
6,7.293435405035336,GS,True,Saliency_PTY'>
7,7.251250060484731,GS,True,Saliency_PTY'>
8,7.113079681688512,GS,True,Saliency_PTY'>
9,7.2767434398931075,GS,True,Saliency_PTY'>
10,7.228179439110702,GS,True,Saliency_PTY'>
11,7.2259979088098625,GS,True,Saliency_PTY'>
12,7.218643592477046,GS,True,Saliency_PTY'>
13,7.112929874507889,GS,True,Saliency_PTY'>
14,7.173397014214305,GS,True,Saliency_PTY'>
15,7.181813609691523,GS,True,Saliency_PTY'>
16,7.268519571297856,GS,True,Saliency_PTY'>
17,7.256114661050665,GS,True,Saliency_PTY'>
18,7.262709900623487,GS,True,Saliency_PTY'>
19,7.275490275752793,GS,True,Saliency_PTY'>
