,complexity,method,tsr,explanation
0,7.215035235403967,SG,True,Saliency_PTY'>
1,7.231305003845655,SG,True,Saliency_PTY'>
2,7.066873803683115,SG,True,Saliency_PTY'>
3,7.24171463300037,SG,True,Saliency_PTY'>
4,7.017107574945207,SG,True,Saliency_PTY'>
5,7.223313157827864,SG,True,Saliency_PTY'>
6,7.15552109112363,SG,True,Saliency_PTY'>
7,7.0055786810991325,SG,True,Saliency_PTY'>
8,7.040376737849629,SG,True,Saliency_PTY'>
9,7.127211499714794,SG,True,Saliency_PTY'>
10,7.170071174560667,SG,True,Saliency_PTY'>
11,7.1788775041459605,SG,True,Saliency_PTY'>
12,7.154983999051335,SG,True,Saliency_PTY'>
13,7.220973162526153,SG,True,Saliency_PTY'>
14,7.096261902081135,SG,True,Saliency_PTY'>
15,7.137401274098805,SG,True,Saliency_PTY'>
16,7.199326362142141,SG,True,Saliency_PTY'>
17,7.272261380029354,SG,True,Saliency_PTY'>
18,7.228842425853012,SG,True,Saliency_PTY'>
19,7.138900366078309,SG,True,Saliency_PTY'>
