,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,0.1267489992492073,IG,False,Saliency_PTY'>
1,True,0.07133355976799816,IG,False,Saliency_PTY'>
2,True,-0.05272050708277914,IG,False,Saliency_PTY'>
3,True,-0.10464426643303304,IG,False,Saliency_PTY'>
4,True,-0.0386248963749828,IG,False,Saliency_PTY'>
5,True,-0.24722018170297913,IG,False,Saliency_PTY'>
6,True,-0.1652300208256912,IG,False,Saliency_PTY'>
7,True,0.1082048361925216,IG,False,Saliency_PTY'>
8,True,-0.2644815356083132,IG,False,Saliency_PTY'>
9,True,0.1699228209590892,IG,False,Saliency_PTY'>
10,True,-0.012320710502658073,IG,False,Saliency_PTY'>
11,True,0.06253858625380015,IG,False,Saliency_PTY'>
12,True,-0.08312204174508854,IG,False,Saliency_PTY'>
13,True,0.09351647283753549,IG,False,Saliency_PTY'>
14,True,-0.010779412361777888,IG,False,Saliency_PTY'>
15,True,0.003806515864003007,IG,False,Saliency_PTY'>
16,True,-0.06176027076135407,IG,False,Saliency_PTY'>
17,True,-0.07524431317018865,IG,False,Saliency_PTY'>
18,True,-0.0040077613865801874,IG,False,Saliency_PTY'>
19,True,0.19095091909662545,IG,False,Saliency_PTY'>
