,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,-0.11149037376090279,IG,True,Saliency_PTY'>
1,True,-0.17859441044891147,IG,True,Saliency_PTY'>
2,True,-0.40004294980348387,IG,True,Saliency_PTY'>
3,True,0.049777278258177335,IG,True,Saliency_PTY'>
4,True,-0.03980320183873091,IG,True,Saliency_PTY'>
5,True,-0.05208603074037835,IG,True,Saliency_PTY'>
6,True,0.16057155278355192,IG,True,Saliency_PTY'>
7,True,-0.02979496830845044,IG,True,Saliency_PTY'>
8,True,0.11225662547496724,IG,True,Saliency_PTY'>
9,True,-0.13619432680532612,IG,True,Saliency_PTY'>
10,True,-0.16525313893608984,IG,True,Saliency_PTY'>
11,True,-0.022952241634055168,IG,True,Saliency_PTY'>
12,True,0.07496020554488692,IG,True,Saliency_PTY'>
13,True,-0.0011087567144905123,IG,True,Saliency_PTY'>
14,True,-0.21197373264467312,IG,True,Saliency_PTY'>
15,True,-0.09226855333383538,IG,True,Saliency_PTY'>
16,True,-0.11532156439085751,IG,True,Saliency_PTY'>
17,True,-0.06943733713370026,IG,True,Saliency_PTY'>
18,True,0.10009870007700986,IG,True,Saliency_PTY'>
19,True,0.06382682900181427,IG,True,Saliency_PTY'>
