,monoton_synthetic,faithfulness_correlation_synthetic_flex,transformer,epochs,explanation
0,True,-0.045236353759174466,authentic_opposing_information,100,TSEvo'>
1,True,-0.07791558712140931,authentic_opposing_information,100,TSEvo'>
2,True,0.23449466943418587,authentic_opposing_information,100,TSEvo'>
3,True,0.19922203637887503,authentic_opposing_information,100,TSEvo'>
4,True,-0.07191944033194929,authentic_opposing_information,100,TSEvo'>
5,True,-0.17468586659152802,authentic_opposing_information,100,TSEvo'>
6,True,-0.07027872485764715,authentic_opposing_information,100,TSEvo'>
7,True,-0.06402476974051463,authentic_opposing_information,100,TSEvo'>
8,True,-0.1759103818730189,authentic_opposing_information,100,TSEvo'>
9,True,-0.041695456440876626,authentic_opposing_information,100,TSEvo'>
10,True,0.4380693263684791,authentic_opposing_information,100,TSEvo'>
11,True,0.45071091284357423,authentic_opposing_information,100,TSEvo'>
12,True,-0.19487266464894473,authentic_opposing_information,100,TSEvo'>
13,True,0.06103421212974011,authentic_opposing_information,100,TSEvo'>
14,True,0.4319199236042878,authentic_opposing_information,100,TSEvo'>
15,True,-0.17591553392862247,authentic_opposing_information,100,TSEvo'>
16,True,0.1626940434159772,authentic_opposing_information,100,TSEvo'>
17,True,-0.025042682366020617,authentic_opposing_information,100,TSEvo'>
18,True,0.3510705423580602,authentic_opposing_information,100,TSEvo'>
19,True,-0.15549931658472746,authentic_opposing_information,100,TSEvo'>
