,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,-0.16855579288587733,SG,True,Saliency_PTY'>
1,True,0.0101809044089698,SG,True,Saliency_PTY'>
2,True,0.14381671301095864,SG,True,Saliency_PTY'>
3,True,-0.030898566624782294,SG,True,Saliency_PTY'>
4,True,-0.10535397456128322,SG,True,Saliency_PTY'>
5,True,0.15623385580020296,SG,True,Saliency_PTY'>
6,True,-0.20049920809003008,SG,True,Saliency_PTY'>
7,True,-0.08949484549899853,SG,True,Saliency_PTY'>
8,True,0.013873890421754343,SG,True,Saliency_PTY'>
9,True,-0.10286458598704987,SG,True,Saliency_PTY'>
10,True,-0.005540525571564931,SG,True,Saliency_PTY'>
11,True,-0.003628380847257455,SG,True,Saliency_PTY'>
12,True,0.08926474641402607,SG,True,Saliency_PTY'>
13,True,-0.08349533994407353,SG,True,Saliency_PTY'>
14,True,0.20546266262660348,SG,True,Saliency_PTY'>
15,True,-0.21684440571438002,SG,True,Saliency_PTY'>
16,True,-0.023378960076718133,SG,True,Saliency_PTY'>
17,True,0.13463907829970553,SG,True,Saliency_PTY'>
18,True,-0.1185732855629155,SG,True,Saliency_PTY'>
19,True,-0.15545912866117936,SG,True,Saliency_PTY'>
