,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,0.242279149559577,GRAD,True,Saliency_PTY'>
1,True,-0.1186963669632103,GRAD,True,Saliency_PTY'>
2,True,0.01694098767616386,GRAD,True,Saliency_PTY'>
3,True,-0.1889083337461465,GRAD,True,Saliency_PTY'>
4,True,-0.02617986627550736,GRAD,True,Saliency_PTY'>
5,True,0.328058872484287,GRAD,True,Saliency_PTY'>
6,True,0.03339464432301997,GRAD,True,Saliency_PTY'>
7,True,0.046621493569308316,GRAD,True,Saliency_PTY'>
8,True,0.09084045280184602,GRAD,True,Saliency_PTY'>
9,True,0.008761068822342628,GRAD,True,Saliency_PTY'>
10,True,0.03340590033930929,GRAD,True,Saliency_PTY'>
11,True,0.3812238422073009,GRAD,True,Saliency_PTY'>
12,True,0.13224711590836297,GRAD,True,Saliency_PTY'>
13,True,0.1137341132652277,GRAD,True,Saliency_PTY'>
14,True,0.14142939196219742,GRAD,True,Saliency_PTY'>
15,True,0.18340132471715223,GRAD,True,Saliency_PTY'>
16,True,-0.066169138576911,GRAD,True,Saliency_PTY'>
17,True,-0.10584742983927017,GRAD,True,Saliency_PTY'>
18,True,-0.06599033782082232,GRAD,True,Saliency_PTY'>
19,True,-0.1296655796939833,GRAD,True,Saliency_PTY'>
