,monoton_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,True,-0.06880287532206425,SG,True,Saliency_PTY'>
1,True,-0.022989925213440218,SG,True,Saliency_PTY'>
2,True,0.093798895632431,SG,True,Saliency_PTY'>
3,True,-0.043537198731222415,SG,True,Saliency_PTY'>
4,True,0.07293233279312591,SG,True,Saliency_PTY'>
5,True,0.10312768729884793,SG,True,Saliency_PTY'>
6,True,0.07357091565860649,SG,True,Saliency_PTY'>
7,True,0.08896026808073576,SG,True,Saliency_PTY'>
8,True,-0.07763175030405468,SG,True,Saliency_PTY'>
9,True,0.1349054771434931,SG,True,Saliency_PTY'>
10,True,-0.004742731318301807,SG,True,Saliency_PTY'>
11,True,-0.024963540833109844,SG,True,Saliency_PTY'>
12,True,-0.17320349464182544,SG,True,Saliency_PTY'>
13,True,-0.07963201773485011,SG,True,Saliency_PTY'>
14,True,-0.055391874439400614,SG,True,Saliency_PTY'>
15,True,0.013125722257472577,SG,True,Saliency_PTY'>
16,True,0.2012198771413442,SG,True,Saliency_PTY'>
17,True,0.08635545207872132,SG,True,Saliency_PTY'>
18,True,0.05464500167716339,SG,True,Saliency_PTY'>
19,True,-0.0872298800890334,SG,True,Saliency_PTY'>
