,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,,IG,True,Saliency_PTY'>
1,True,-0.08221202783429132,IG,True,Saliency_PTY'>
2,True,-0.16533484736874637,IG,True,Saliency_PTY'>
3,True,,IG,True,Saliency_PTY'>
4,True,0.04819708019742129,IG,True,Saliency_PTY'>
5,True,-0.019243630650275702,IG,True,Saliency_PTY'>
6,True,0.24360210745375327,IG,True,Saliency_PTY'>
7,True,,IG,True,Saliency_PTY'>
8,True,0.09914327749345801,IG,True,Saliency_PTY'>
9,True,0.2582925965783309,IG,True,Saliency_PTY'>
10,True,0.240841003750951,IG,True,Saliency_PTY'>
11,True,,IG,True,Saliency_PTY'>
12,True,0.1623569243065655,IG,True,Saliency_PTY'>
13,True,-0.04216477427928067,IG,True,Saliency_PTY'>
14,True,,IG,True,Saliency_PTY'>
15,True,,IG,True,Saliency_PTY'>
16,True,-0.04915073876120875,IG,True,Saliency_PTY'>
17,True,0.1393270762514831,IG,True,Saliency_PTY'>
18,True,,IG,True,Saliency_PTY'>
19,True,,IG,True,Saliency_PTY'>
