,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,False,0.17916666666666667,0.1420361171170779,0.6587149705014749,GS,False,Saliency_PTY'>
1,False,0.3375,0.1889901880388097,0.7684679203539823,GS,False,Saliency_PTY'>
2,True,0.42083333333333334,0.2345936758555725,0.8603097345132744,GS,False,Saliency_PTY'>
3,False,0.22916666666666666,0.1396117297018766,0.6266002949852507,GS,False,Saliency_PTY'>
4,False,0.17083333333333334,0.1292036508748728,0.6350129056047198,GS,False,Saliency_PTY'>
5,True,0.4375,0.22216017032035526,0.7766685103244837,GS,False,Saliency_PTY'>
6,True,0.275,0.17064019327369956,0.6733462389380531,GS,False,Saliency_PTY'>
7,False,0.42916666666666664,0.21643114239053146,0.8378668879056048,GS,False,Saliency_PTY'>
8,False,0.14583333333333334,0.11561801433018841,0.5705438790560472,GS,False,Saliency_PTY'>
9,False,0.45,0.22361846855566722,0.7774686578171092,GS,False,Saliency_PTY'>
10,False,0.14166666666666666,0.10847491049296898,0.5514915191740413,GS,False,Saliency_PTY'>
11,True,0.3333333333333333,0.1955773393068232,0.7485545722713864,GS,False,Saliency_PTY'>
12,False,0.20416666666666666,0.13632397833265913,0.613528761061947,GS,False,Saliency_PTY'>
13,True,0.4708333333333333,0.2520936578705655,0.8648193215339233,GS,False,Saliency_PTY'>
14,True,0.25,0.1602539684895676,0.6454351032448378,GS,False,Saliency_PTY'>
15,True,0.3,0.16050716742301252,0.6444432153392331,GS,False,Saliency_PTY'>
16,False,0.23333333333333334,0.16339733178778731,0.7439915191740414,GS,False,Saliency_PTY'>
17,False,0.125,0.12953014939264718,0.6737112831858408,GS,False,Saliency_PTY'>
18,True,0.3375,0.19787565413693295,0.7474668141592921,GS,False,Saliency_PTY'>
19,False,0.275,0.17512857262847562,0.7366611356932153,GS,False,Saliency_PTY'>
