,AverageSensitivity,MaxSensitivity,method,tsr,explanation
0,0.20629506754826282,0.5987870802067019,SG,True,Saliency_PTY'>
1,0.22551775713362043,0.28679852944331025,SG,True,Saliency_PTY'>
2,0.2840831819917937,0.7629289138487532,SG,True,Saliency_PTY'>
3,0.18007791061960915,0.6853946917684002,SG,True,Saliency_PTY'>
4,0.1768331491331459,0.7859395712287504,SG,True,Saliency_PTY'>
5,0.2597240453202083,0.6015644854876223,SG,True,Saliency_PTY'>
6,0.2690754151833826,0.2753648484219915,SG,True,Saliency_PTY'>
7,0.2075937906632616,0.624253383452652,SG,True,Saliency_PTY'>
8,0.23635223846776446,0.5875329222429622,SG,True,Saliency_PTY'>
9,0.23125402032197498,0.5455249559020393,SG,True,Saliency_PTY'>
10,0.19106793335096514,0.4022741337643468,SG,True,Saliency_PTY'>
11,0.2087574580438453,0.7706943446077965,SG,True,Saliency_PTY'>
12,0.24409218734878557,0.7631161283081754,SG,True,Saliency_PTY'>
13,0.3168719898742494,0.337672236574966,SG,True,Saliency_PTY'>
14,0.19075596067779715,0.44845992830922216,SG,True,Saliency_PTY'>
15,0.23732363055120348,0.6135937287383532,SG,True,Saliency_PTY'>
16,0.26078926145445847,0.5434426159527557,SG,True,Saliency_PTY'>
17,0.2461291606853258,0.28327658277567985,SG,True,Saliency_PTY'>
18,0.1976163758087167,0.7168522132514729,SG,True,Saliency_PTY'>
19,0.17122728247306962,0.5955290338617093,SG,True,Saliency_PTY'>
