,monoton_uniform,monoton_corr_uniform,faithfulness_correlation_uniform,monoton_mean,monoton_corr_mean,faithfulness_correlation_mean,monoton_synthetic,monoton_corr_synthetic,faithfulness_correlation_synthetic,method,tsr,explanation
0,False,,,,,,True,0.01586823454559547,0.14397276074497606,GRAD,True,Saliency_PTY'>
1,True,,,,,,True,0.10067137146042775,-0.011812872320176521,GRAD,True,Saliency_PTY'>
2,False,,,,,,True,,-0.04451053158184349,GRAD,True,Saliency_PTY'>
3,False,,,,,,True,-0.1638638747173996,-0.1843746996264749,GRAD,True,Saliency_PTY'>
4,False,,,,,,True,-0.034331828005618494,-0.09371209447892104,GRAD,True,Saliency_PTY'>
5,False,,,,,,True,0.06649529901630942,-0.2845190247168825,GRAD,True,Saliency_PTY'>
6,False,,,,,,True,0.29942916892095256,-0.13574581599933802,GRAD,True,Saliency_PTY'>
7,False,,,,,,True,-0.05327572750924989,0.029935874873490937,GRAD,True,Saliency_PTY'>
8,True,,,,,,True,,0.020426837413625255,GRAD,True,Saliency_PTY'>
9,False,,,,,,True,0.11776170716768793,-0.09464495293817934,GRAD,True,Saliency_PTY'>
10,False,,,,,,True,-0.10184685504414237,-0.01924602644528159,GRAD,True,Saliency_PTY'>
11,False,,,,,,True,0.12261359748457167,0.24296843302808968,GRAD,True,Saliency_PTY'>
12,False,,,,,,True,-0.052387857199607354,-0.30778320773377515,GRAD,True,Saliency_PTY'>
13,False,,,,,,True,-0.07441395054290417,0.01785019218658162,GRAD,True,Saliency_PTY'>
14,True,,,,,,True,,0.04894516590694245,GRAD,True,Saliency_PTY'>
15,False,,,,,,True,-0.1225005518931655,-0.13930113215062048,GRAD,True,Saliency_PTY'>
16,False,,,,,,True,-0.3692290327021164,-0.17624150568608865,GRAD,True,Saliency_PTY'>
17,True,,,,,,True,,0.04183811136942351,GRAD,True,Saliency_PTY'>
18,False,,,,,,True,-0.06448914585097863,-0.20249691406609724,GRAD,True,Saliency_PTY'>
19,False,,,,,,True,-0.11212824374985661,0.16334069433476317,GRAD,True,Saliency_PTY'>
