,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.5,0.5324303280944278,0.4316666666666667,GS,True,Saliency_PTY'>
1,True,0.6333333333333333,0.6514522360608827,0.5591666666666667,GS,True,Saliency_PTY'>
2,False,0.4,0.4426095058029355,0.3125,GS,True,Saliency_PTY'>
3,True,0.6666666666666666,0.7352190061750056,0.6333333333333333,GS,True,Saliency_PTY'>
4,False,0.7,0.6712218395898734,0.5666666666666667,GS,True,Saliency_PTY'>
5,True,0.5666666666666667,0.5204650062457243,0.44916666666666666,GS,True,Saliency_PTY'>
6,False,0.5333333333333333,0.5928734358626425,0.49083333333333334,GS,True,Saliency_PTY'>
7,True,0.5666666666666667,0.562610064332961,0.4741666666666666,GS,True,Saliency_PTY'>
8,True,0.5666666666666667,0.5554329181206991,0.48166666666666663,GS,True,Saliency_PTY'>
9,True,0.5666666666666667,0.615856571693185,0.5183333333333333,GS,True,Saliency_PTY'>
10,True,0.5333333333333333,0.5729061037506683,0.4741666666666666,GS,True,Saliency_PTY'>
11,False,0.6333333333333333,0.6301098829505573,0.5375,GS,True,Saliency_PTY'>
12,False,0.6,0.6457654748850004,0.5383333333333333,GS,True,Saliency_PTY'>
13,True,0.6,0.6940295535969249,0.5741666666666666,GS,True,Saliency_PTY'>
14,True,0.5666666666666667,0.6554275717715103,0.5525,GS,True,Saliency_PTY'>
15,True,0.6,0.6384374583009643,0.5399999999999999,GS,True,Saliency_PTY'>
16,False,0.5666666666666667,0.6125137656987012,0.5133333333333333,GS,True,Saliency_PTY'>
17,True,0.6333333333333333,0.6615756517456834,0.5508333333333333,GS,True,Saliency_PTY'>
18,False,0.5666666666666667,0.5656806352204165,0.45666666666666667,GS,True,Saliency_PTY'>
19,True,0.6666666666666666,0.7625230764330316,0.6749999999999999,GS,True,Saliency_PTY'>
