,complexity,method,tsr,explanation
0,7.234593514951262,SG,True,Saliency_PTY'>
1,7.041880752371412,SG,True,Saliency_PTY'>
2,7.159862179357143,SG,True,Saliency_PTY'>
3,7.258924694741279,SG,True,Saliency_PTY'>
4,7.1980171655615,SG,True,Saliency_PTY'>
5,7.274490265408758,SG,True,Saliency_PTY'>
6,7.217910446427203,SG,True,Saliency_PTY'>
7,7.29674974938008,SG,True,Saliency_PTY'>
8,7.212046073074532,SG,True,Saliency_PTY'>
9,7.231255183193519,SG,True,Saliency_PTY'>
10,7.23959537533285,SG,True,Saliency_PTY'>
11,7.169176111405853,SG,True,Saliency_PTY'>
12,7.233890679536062,SG,True,Saliency_PTY'>
13,7.32919983283627,SG,True,Saliency_PTY'>
14,7.200605000791393,SG,True,Saliency_PTY'>
15,7.168464709389106,SG,True,Saliency_PTY'>
16,7.28090741953538,SG,True,Saliency_PTY'>
17,7.152158753837469,SG,True,Saliency_PTY'>
18,7.253426714907503,SG,True,Saliency_PTY'>
19,7.238115698390301,SG,True,Saliency_PTY'>
