,complexity,method,tsr,explanation
0,6.144812558924177,SG,True,Saliency_PTY'>
1,6.560916711509286,SG,True,Saliency_PTY'>
2,6.811258812646781,SG,True,Saliency_PTY'>
3,6.5733479113332365,SG,True,Saliency_PTY'>
4,7.045741004189056,SG,True,Saliency_PTY'>
5,5.800066889443599,SG,True,Saliency_PTY'>
6,7.177105771699077,SG,True,Saliency_PTY'>
7,6.776634251759871,SG,True,Saliency_PTY'>
8,7.000495716173948,SG,True,Saliency_PTY'>
9,6.667859895020829,SG,True,Saliency_PTY'>
10,6.794633667488825,SG,True,Saliency_PTY'>
11,5.44009987482255,SG,True,Saliency_PTY'>
12,7.162665675700767,SG,True,Saliency_PTY'>
13,6.487029850796629,SG,True,Saliency_PTY'>
14,6.8116909223979425,SG,True,Saliency_PTY'>
15,6.977472865307285,SG,True,Saliency_PTY'>
16,6.432833924194121,SG,True,Saliency_PTY'>
17,7.0061583783884265,SG,True,Saliency_PTY'>
18,7.108608012961121,SG,True,Saliency_PTY'>
19,6.3955396433250575,SG,True,Saliency_PTY'>
