,complexity,method,tsr,explanation
0,7.543203369216152,GRAD,False,Saliency_PTY'>
1,7.603701932634911,GRAD,False,Saliency_PTY'>
2,7.599110896959629,GRAD,False,Saliency_PTY'>
3,7.5908572715871525,GRAD,False,Saliency_PTY'>
4,7.611948949613678,GRAD,False,Saliency_PTY'>
5,7.5368939600708655,GRAD,False,Saliency_PTY'>
6,7.587365640108091,GRAD,False,Saliency_PTY'>
7,7.588311622844058,GRAD,False,Saliency_PTY'>
8,7.5679126021986605,GRAD,False,Saliency_PTY'>
9,7.6134888111223535,GRAD,False,Saliency_PTY'>
10,7.575657724607951,GRAD,False,Saliency_PTY'>
11,7.59551602258702,GRAD,False,Saliency_PTY'>
12,7.596770655545727,GRAD,False,Saliency_PTY'>
13,7.579786914818158,GRAD,False,Saliency_PTY'>
14,7.586708702468464,GRAD,False,Saliency_PTY'>
15,7.596882593343341,GRAD,False,Saliency_PTY'>
16,7.570085953377848,GRAD,False,Saliency_PTY'>
17,7.566887447203469,GRAD,False,Saliency_PTY'>
18,7.595133116558297,GRAD,False,Saliency_PTY'>
19,7.595829052922056,GRAD,False,Saliency_PTY'>
