,complexity,method,tsr,explanation
0,5.652639007526864,GRAD,True,Saliency_PTY'>
1,7.285301263143888,GRAD,True,Saliency_PTY'>
2,5.585863588142034,GRAD,True,Saliency_PTY'>
3,6.96912446357144,GRAD,True,Saliency_PTY'>
4,5.486887001736786,GRAD,True,Saliency_PTY'>
5,7.075051892564958,GRAD,True,Saliency_PTY'>
6,6.16618922854093,GRAD,True,Saliency_PTY'>
7,6.919339069134481,GRAD,True,Saliency_PTY'>
8,7.08464627671792,GRAD,True,Saliency_PTY'>
9,6.077351710352387,GRAD,True,Saliency_PTY'>
10,6.737553542083349,GRAD,True,Saliency_PTY'>
11,5.842658566442005,GRAD,True,Saliency_PTY'>
12,6.804016357438458,GRAD,True,Saliency_PTY'>
13,6.17976696642144,GRAD,True,Saliency_PTY'>
14,6.606910793712996,GRAD,True,Saliency_PTY'>
15,6.839012785772203,GRAD,True,Saliency_PTY'>
16,6.724535753038759,GRAD,True,Saliency_PTY'>
17,6.391501008220161,GRAD,True,Saliency_PTY'>
18,3.216159282229091,GRAD,True,Saliency_PTY'>
19,4.700921060659656,GRAD,True,Saliency_PTY'>
