,complexity,method,tsr,explanation
0,3.6002447082925664,GS,True,Saliency_PTY'>
1,3.738303154242244,GS,True,Saliency_PTY'>
2,3.172000043587074,GS,True,Saliency_PTY'>
3,4.345487966096279,GS,True,Saliency_PTY'>
4,2.419935328746372,GS,True,Saliency_PTY'>
5,5.002886545443365,GS,True,Saliency_PTY'>
6,6.945287163622201,GS,True,Saliency_PTY'>
7,4.505632287435739,GS,True,Saliency_PTY'>
8,2.0622423442084723,GS,True,Saliency_PTY'>
9,2.9675906536788337,GS,True,Saliency_PTY'>
10,2.388769750528936,GS,True,Saliency_PTY'>
11,4.013309497116676,GS,True,Saliency_PTY'>
12,4.360413064777132,GS,True,Saliency_PTY'>
13,4.428626346722167,GS,True,Saliency_PTY'>
14,3.6254130686445825,GS,True,Saliency_PTY'>
15,3.085578572941431,GS,True,Saliency_PTY'>
16,4.053236051697762,GS,True,Saliency_PTY'>
17,4.130894245411307,GS,True,Saliency_PTY'>
18,3.471550164822352,GS,True,Saliency_PTY'>
19,7.413155258148562,GS,True,Saliency_PTY'>
