,complexity,method,tsr,explanation
0,5.38111427939993,IG,True,Saliency_PTY'>
1,5.914760181094637,IG,True,Saliency_PTY'>
2,4.281029869954612,IG,True,Saliency_PTY'>
3,6.008909178794906,IG,True,Saliency_PTY'>
4,6.956409520782875,IG,True,Saliency_PTY'>
5,6.973710553806916,IG,True,Saliency_PTY'>
6,4.7646601195182665,IG,True,Saliency_PTY'>
7,5.32057864866202,IG,True,Saliency_PTY'>
8,6.615981884535367,IG,True,Saliency_PTY'>
9,6.717724499663161,IG,True,Saliency_PTY'>
10,6.781263858067673,IG,True,Saliency_PTY'>
11,6.687462708068852,IG,True,Saliency_PTY'>
12,4.263483054585157,IG,True,Saliency_PTY'>
13,6.311787417818863,IG,True,Saliency_PTY'>
14,6.920147476572861,IG,True,Saliency_PTY'>
15,6.906454851439316,IG,True,Saliency_PTY'>
16,6.794489217928003,IG,True,Saliency_PTY'>
17,6.7035044602396665,IG,True,Saliency_PTY'>
18,3.8871338895685685,IG,True,Saliency_PTY'>
19,6.110050850306251,IG,True,Saliency_PTY'>
