,complexity,method,tsr,explanation
0,6.250256863767796,IG,True,Saliency_PTY'>
1,7.0504932560594735,IG,True,Saliency_PTY'>
2,7.031369766643381,IG,True,Saliency_PTY'>
3,6.853479779838901,IG,True,Saliency_PTY'>
4,6.721827668643601,IG,True,Saliency_PTY'>
5,6.856537109885037,IG,True,Saliency_PTY'>
6,6.556257905689725,IG,True,Saliency_PTY'>
7,6.705542969753994,IG,True,Saliency_PTY'>
8,7.0805619719375485,IG,True,Saliency_PTY'>
9,6.655591569748039,IG,True,Saliency_PTY'>
10,6.924564434536299,IG,True,Saliency_PTY'>
11,7.004301253004275,IG,True,Saliency_PTY'>
12,7.015033828333704,IG,True,Saliency_PTY'>
13,6.77443995043884,IG,True,Saliency_PTY'>
14,6.865969111620912,IG,True,Saliency_PTY'>
15,6.601894739846211,IG,True,Saliency_PTY'>
16,6.773416787534893,IG,True,Saliency_PTY'>
17,7.007721802258142,IG,True,Saliency_PTY'>
18,6.356911296801761,IG,True,Saliency_PTY'>
19,6.920434652823966,IG,True,Saliency_PTY'>
