,complexity,method,tsr,explanation
0,6.617487956104835,FO,True,Saliency_PTY'>
1,6.3007172808738465,FO,True,Saliency_PTY'>
2,6.374657641741616,FO,True,Saliency_PTY'>
3,6.206816451690113,FO,True,Saliency_PTY'>
4,6.275256949634942,FO,True,Saliency_PTY'>
5,6.425361271888795,FO,True,Saliency_PTY'>
6,6.308754144041456,FO,True,Saliency_PTY'>
7,6.312242940727131,FO,True,Saliency_PTY'>
8,6.3430156994560365,FO,True,Saliency_PTY'>
9,6.329164051118394,FO,True,Saliency_PTY'>
10,6.252591676830612,FO,True,Saliency_PTY'>
11,6.375587295336894,FO,True,Saliency_PTY'>
12,5.994293896928219,FO,True,Saliency_PTY'>
13,6.244129093617306,FO,True,Saliency_PTY'>
14,6.317019792773859,FO,True,Saliency_PTY'>
15,6.265542093948354,FO,True,Saliency_PTY'>
16,6.356309800151923,FO,True,Saliency_PTY'>
17,6.3749194194159005,FO,True,Saliency_PTY'>
18,6.262901834503822,FO,True,Saliency_PTY'>
19,6.418354923359556,FO,True,Saliency_PTY'>
