,complexity,method,tsr,explanation
0,7.046564320755916,GRAD,False,Saliency_PTY'>
1,7.112802183633773,GRAD,False,Saliency_PTY'>
2,7.376467654569202,GRAD,False,Saliency_PTY'>
3,7.304845137694373,GRAD,False,Saliency_PTY'>
4,7.340191552957709,GRAD,False,Saliency_PTY'>
5,7.112257954847105,GRAD,False,Saliency_PTY'>
6,7.451337050897431,GRAD,False,Saliency_PTY'>
7,7.3087172801037426,GRAD,False,Saliency_PTY'>
8,7.338231186118696,GRAD,False,Saliency_PTY'>
9,7.114909045291402,GRAD,False,Saliency_PTY'>
10,7.091165577810097,GRAD,False,Saliency_PTY'>
11,7.317421582241463,GRAD,False,Saliency_PTY'>
12,7.342789014610556,GRAD,False,Saliency_PTY'>
13,7.385764174366009,GRAD,False,Saliency_PTY'>
14,7.130501953356209,GRAD,False,Saliency_PTY'>
15,7.085983180292289,GRAD,False,Saliency_PTY'>
16,7.3636675841630606,GRAD,False,Saliency_PTY'>
17,7.35136647652903,GRAD,False,Saliency_PTY'>
18,7.08176189277921,GRAD,False,Saliency_PTY'>
19,7.141161495432559,GRAD,False,Saliency_PTY'>
