,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,-0.26511727164959403,IG,True,Saliency_PTY'>
1,True,-0.351714044771099,IG,True,Saliency_PTY'>
2,True,-0.07205224230995051,IG,True,Saliency_PTY'>
3,True,-0.05895678026325714,IG,True,Saliency_PTY'>
4,True,0.16631653282064326,IG,True,Saliency_PTY'>
5,True,-0.4004180349948826,IG,True,Saliency_PTY'>
6,True,-0.4952410020073584,IG,True,Saliency_PTY'>
7,True,0.10132328794049342,IG,True,Saliency_PTY'>
8,True,0.08443005292747162,IG,True,Saliency_PTY'>
9,True,0.18650443072580203,IG,True,Saliency_PTY'>
10,True,0.33919608411686225,IG,True,Saliency_PTY'>
11,True,0.07794156179259222,IG,True,Saliency_PTY'>
12,True,-0.23282722135139788,IG,True,Saliency_PTY'>
13,True,0.427640343769459,IG,True,Saliency_PTY'>
14,True,0.4156576487422865,IG,True,Saliency_PTY'>
15,True,-0.2115920428209484,IG,True,Saliency_PTY'>
16,True,-0.25330847404169254,IG,True,Saliency_PTY'>
17,True,-0.4441967314652806,IG,True,Saliency_PTY'>
18,True,-0.49148330303456006,IG,True,Saliency_PTY'>
19,True,-0.05951147789648453,IG,True,Saliency_PTY'>
