,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,0.047630159463836856,IG,True,Saliency_PTY'>
1,True,-0.044941343021201625,IG,True,Saliency_PTY'>
2,True,0.2743826476157361,IG,True,Saliency_PTY'>
3,True,0.07704033437463004,IG,True,Saliency_PTY'>
4,True,-0.11594103828943077,IG,True,Saliency_PTY'>
5,True,0.2827841235430193,IG,True,Saliency_PTY'>
6,True,-0.19341884143989865,IG,True,Saliency_PTY'>
7,True,0.1304289444639521,IG,True,Saliency_PTY'>
8,True,0.28240527755595835,IG,True,Saliency_PTY'>
9,True,0.05484438601352015,IG,True,Saliency_PTY'>
10,True,0.17109260461315365,IG,True,Saliency_PTY'>
11,True,0.04146421962017883,IG,True,Saliency_PTY'>
12,True,-0.04217553112538592,IG,True,Saliency_PTY'>
13,True,0.11570071555295053,IG,True,Saliency_PTY'>
14,True,0.23171477156413678,IG,True,Saliency_PTY'>
15,True,0.16494702885644644,IG,True,Saliency_PTY'>
16,True,0.25895227698328227,IG,True,Saliency_PTY'>
17,True,-0.027665898880489335,IG,True,Saliency_PTY'>
18,True,-0.16579966224464365,IG,True,Saliency_PTY'>
19,True,0.21786841308357863,IG,True,Saliency_PTY'>
