,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,0.14719266414996832,FO,False,Saliency_PTY'>
1,True,-0.030871366691258895,FO,False,Saliency_PTY'>
2,True,0.07225055540314002,FO,False,Saliency_PTY'>
3,True,0.02674902091893351,FO,False,Saliency_PTY'>
4,True,0.15286301334017002,FO,False,Saliency_PTY'>
5,True,0.11750601132018158,FO,False,Saliency_PTY'>
6,True,-0.0347282711273596,FO,False,Saliency_PTY'>
7,True,-0.0927890233042834,FO,False,Saliency_PTY'>
8,True,0.15178650789679676,FO,False,Saliency_PTY'>
9,True,-0.07896450225829947,FO,False,Saliency_PTY'>
10,True,-0.12194002601512381,FO,False,Saliency_PTY'>
11,True,-0.07516348756878156,FO,False,Saliency_PTY'>
12,True,-0.06536837782288003,FO,False,Saliency_PTY'>
13,True,-0.11974248642113149,FO,False,Saliency_PTY'>
14,True,0.01783396750088507,FO,False,Saliency_PTY'>
15,True,-0.10634478698772488,FO,False,Saliency_PTY'>
16,True,-0.04192025484893698,FO,False,Saliency_PTY'>
17,True,0.07485163744995774,FO,False,Saliency_PTY'>
18,True,0.01954957659052672,FO,False,Saliency_PTY'>
19,True,0.10535196937200025,FO,False,Saliency_PTY'>
