,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,-0.17204824283430936,GS,False,Saliency_PTY'>
1,True,0.1005833798727643,GS,False,Saliency_PTY'>
2,True,0.4607046713792172,GS,False,Saliency_PTY'>
3,True,0.5076434335666934,GS,False,Saliency_PTY'>
4,True,-0.2390162786849679,GS,False,Saliency_PTY'>
5,True,-0.07503532487813924,GS,False,Saliency_PTY'>
6,True,-0.2618592764317673,GS,False,Saliency_PTY'>
7,True,-0.09709720897302976,GS,False,Saliency_PTY'>
8,True,-0.1327203818093223,GS,False,Saliency_PTY'>
9,True,-0.17010960477259018,GS,False,Saliency_PTY'>
10,True,0.6247348234140219,GS,False,Saliency_PTY'>
11,True,0.4414035514816864,GS,False,Saliency_PTY'>
12,True,0.02073369707920984,GS,False,Saliency_PTY'>
13,True,0.664266918053817,GS,False,Saliency_PTY'>
14,True,0.35045944089901604,GS,False,Saliency_PTY'>
15,True,-0.08692939148612486,GS,False,Saliency_PTY'>
16,True,0.4392460704454254,GS,False,Saliency_PTY'>
17,True,0.03452618576164397,GS,False,Saliency_PTY'>
18,True,0.60664316932917,GS,False,Saliency_PTY'>
19,True,-0.2094881348083056,GS,False,Saliency_PTY'>
