,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,-0.21970883314853504,GRAD,True,Saliency_PTY'>
1,True,-0.058892924185647365,GRAD,True,Saliency_PTY'>
2,True,0.16508325183034356,GRAD,True,Saliency_PTY'>
3,True,0.011089539114074178,GRAD,True,Saliency_PTY'>
4,True,-0.19101822007380895,GRAD,True,Saliency_PTY'>
5,True,-0.09690396432175946,GRAD,True,Saliency_PTY'>
6,True,-0.029312025797866414,GRAD,True,Saliency_PTY'>
7,True,-0.18942401953590368,GRAD,True,Saliency_PTY'>
8,True,-0.12851592882342056,GRAD,True,Saliency_PTY'>
9,True,-0.35322949178111784,GRAD,True,Saliency_PTY'>
10,True,-0.05512078392156518,GRAD,True,Saliency_PTY'>
11,True,0.046721367482845784,GRAD,True,Saliency_PTY'>
12,True,0.039969737662150166,GRAD,True,Saliency_PTY'>
13,True,-0.007218263269123799,GRAD,True,Saliency_PTY'>
14,True,-0.0038586969542930495,GRAD,True,Saliency_PTY'>
15,True,-0.03950993593997382,GRAD,True,Saliency_PTY'>
16,True,-0.048585958298684326,GRAD,True,Saliency_PTY'>
17,True,-0.19131407620049445,GRAD,True,Saliency_PTY'>
18,True,0.15629993904159825,GRAD,True,Saliency_PTY'>
19,True,-0.15118255744322776,GRAD,True,Saliency_PTY'>
