,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,0.049924479744380704,SG,True,Saliency_PTY'>
1,True,0.2621640257225379,SG,True,Saliency_PTY'>
2,True,-0.06550266784675618,SG,True,Saliency_PTY'>
3,True,0.03865605633052801,SG,True,Saliency_PTY'>
4,True,0.021746609872969128,SG,True,Saliency_PTY'>
5,True,-0.0028953228208091018,SG,True,Saliency_PTY'>
6,True,0.22509235814197648,SG,True,Saliency_PTY'>
7,True,-0.016141109577741886,SG,True,Saliency_PTY'>
8,True,0.36264897739620644,SG,True,Saliency_PTY'>
9,True,0.012422375184344678,SG,True,Saliency_PTY'>
10,True,-0.05829632315319303,SG,True,Saliency_PTY'>
11,True,0.09329846446983323,SG,True,Saliency_PTY'>
12,True,-0.07312061397941454,SG,True,Saliency_PTY'>
13,True,0.027574369618776486,SG,True,Saliency_PTY'>
14,True,-0.15832954932849186,SG,True,Saliency_PTY'>
15,True,0.16688664212970164,SG,True,Saliency_PTY'>
16,True,0.1303536670785244,SG,True,Saliency_PTY'>
17,True,0.11858138908629304,SG,True,Saliency_PTY'>
18,True,0.15569483545946405,SG,True,Saliency_PTY'>
19,True,0.12451192192689178,SG,True,Saliency_PTY'>
