,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,0.07106300276709482,GRAD,False,Saliency_PTY'>
1,True,0.2394300767811977,GRAD,False,Saliency_PTY'>
2,True,0.3624959870209764,GRAD,False,Saliency_PTY'>
3,True,0.2572170726398701,GRAD,False,Saliency_PTY'>
4,True,,GRAD,False,Saliency_PTY'>
5,True,0.15803953180536584,GRAD,False,Saliency_PTY'>
6,True,0.14393021800919895,GRAD,False,Saliency_PTY'>
7,True,,GRAD,False,Saliency_PTY'>
8,True,0.13848142112113368,GRAD,False,Saliency_PTY'>
9,True,,GRAD,False,Saliency_PTY'>
10,True,,GRAD,False,Saliency_PTY'>
11,True,,GRAD,False,Saliency_PTY'>
12,True,0.05808711904314996,GRAD,False,Saliency_PTY'>
13,True,0.017985888314833363,GRAD,False,Saliency_PTY'>
14,True,,GRAD,False,Saliency_PTY'>
15,True,0.4249104643211211,GRAD,False,Saliency_PTY'>
16,True,,GRAD,False,Saliency_PTY'>
17,True,0.029564276011173465,GRAD,False,Saliency_PTY'>
18,True,0.18749837197057184,GRAD,False,Saliency_PTY'>
19,True,0.3958322992817873,GRAD,False,Saliency_PTY'>
