,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,-0.09299766254828364,GRAD,True,Saliency_PTY'>
1,True,0.09618882613710854,GRAD,True,Saliency_PTY'>
2,True,0.18214768750583007,GRAD,True,Saliency_PTY'>
3,True,-0.15956408623934282,GRAD,True,Saliency_PTY'>
4,True,-0.07767413002103535,GRAD,True,Saliency_PTY'>
5,True,-0.26933070036401624,GRAD,True,Saliency_PTY'>
6,True,0.11837466450689546,GRAD,True,Saliency_PTY'>
7,True,-0.16731549716853475,GRAD,True,Saliency_PTY'>
8,True,0.06415173187834107,GRAD,True,Saliency_PTY'>
9,True,-0.08321534777115618,GRAD,True,Saliency_PTY'>
10,True,-0.11216839322757491,GRAD,True,Saliency_PTY'>
11,True,0.21347996660222812,GRAD,True,Saliency_PTY'>
12,True,-0.13476558181798295,GRAD,True,Saliency_PTY'>
13,True,0.0250513987235469,GRAD,True,Saliency_PTY'>
14,True,-0.14190723216057483,GRAD,True,Saliency_PTY'>
15,True,0.14269388885915313,GRAD,True,Saliency_PTY'>
16,True,0.027509357319688246,GRAD,True,Saliency_PTY'>
17,True,0.06869770272068813,GRAD,True,Saliency_PTY'>
18,True,-0.03179898128862771,GRAD,True,Saliency_PTY'>
19,True,0.07298050243374907,GRAD,True,Saliency_PTY'>
