,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,0.07800204992234996,GRAD,True,Saliency_PTY'>
1,True,-0.23795985746887888,GRAD,True,Saliency_PTY'>
2,True,0.18727762711231133,GRAD,True,Saliency_PTY'>
3,True,-0.21656002724903906,GRAD,True,Saliency_PTY'>
4,True,-0.1978653261091209,GRAD,True,Saliency_PTY'>
5,True,0.0065472809484367605,GRAD,True,Saliency_PTY'>
6,True,-0.27707253239785606,GRAD,True,Saliency_PTY'>
7,True,-0.14969830554780866,GRAD,True,Saliency_PTY'>
8,True,0.05722909200334418,GRAD,True,Saliency_PTY'>
9,True,0.0588979922795132,GRAD,True,Saliency_PTY'>
10,True,0.0784790778384289,GRAD,True,Saliency_PTY'>
11,True,-0.17658303839317888,GRAD,True,Saliency_PTY'>
12,True,-0.016433762733167174,GRAD,True,Saliency_PTY'>
13,True,0.0908257783082848,GRAD,True,Saliency_PTY'>
14,True,0.3773776720545811,GRAD,True,Saliency_PTY'>
15,True,-0.0007487177132676157,GRAD,True,Saliency_PTY'>
16,True,0.042697803882221,GRAD,True,Saliency_PTY'>
17,True,-0.14854135574730482,GRAD,True,Saliency_PTY'>
18,True,-0.03359852457935971,GRAD,True,Saliency_PTY'>
19,True,-0.10341113187390186,GRAD,True,Saliency_PTY'>
