,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,True,0.031056171330275183,IG,True,Saliency_PTY'>
1,True,0.05559292974813842,IG,True,Saliency_PTY'>
2,True,-0.05928941818041271,IG,True,Saliency_PTY'>
3,True,0.05166803895873881,IG,True,Saliency_PTY'>
4,True,0.08765883294637818,IG,True,Saliency_PTY'>
5,True,-0.06137313983508689,IG,True,Saliency_PTY'>
6,True,-0.07999505499779237,IG,True,Saliency_PTY'>
7,True,0.03249998584105864,IG,True,Saliency_PTY'>
8,True,0.07201275915214314,IG,True,Saliency_PTY'>
9,True,0.1737892710891419,IG,True,Saliency_PTY'>
10,True,-0.09743674667565332,IG,True,Saliency_PTY'>
11,True,-0.05317709574197909,IG,True,Saliency_PTY'>
12,True,-0.08845842356247496,IG,True,Saliency_PTY'>
13,True,0.02305749104711746,IG,True,Saliency_PTY'>
14,True,-0.11935797179513012,IG,True,Saliency_PTY'>
15,True,0.06628269607693742,IG,True,Saliency_PTY'>
16,True,-0.007594532560925658,IG,True,Saliency_PTY'>
17,True,0.011451854225859353,IG,True,Saliency_PTY'>
18,True,0.1172857502549497,IG,True,Saliency_PTY'>
19,True,-0.1322662962225825,IG,True,Saliency_PTY'>
