,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.6833333333333333,0.5529728598073324,0.8358034722222223,SG,False,Saliency_PTY'>
1,True,0.6833333333333333,0.5449760362199035,0.8360152777777776,SG,False,Saliency_PTY'>
2,True,0.6644444444444444,0.541635734664311,0.8243930555555555,SG,False,Saliency_PTY'>
3,True,0.6722222222222223,0.5451889872382374,0.8273486111111111,SG,False,Saliency_PTY'>
4,True,0.6688888888888889,0.5329100450317034,0.8182763888888889,SG,False,Saliency_PTY'>
5,True,0.6622222222222223,0.5473141912952065,0.8254159722222223,SG,False,Saliency_PTY'>
6,True,0.6588888888888889,0.5459412899117358,0.8303572916666666,SG,False,Saliency_PTY'>
7,True,0.66,0.5456841838528917,0.8257527777777778,SG,False,Saliency_PTY'>
8,True,0.6611111111111111,0.5325821506308507,0.8096805555555555,SG,False,Saliency_PTY'>
9,True,0.6611111111111111,0.5422300985952803,0.8263458333333332,SG,False,Saliency_PTY'>
10,True,0.6522222222222223,0.5458523353801348,0.8249868055555556,SG,False,Saliency_PTY'>
11,True,0.6722222222222223,0.5530763915083874,0.833442361111111,SG,False,Saliency_PTY'>
12,True,0.6388888888888888,0.5200473585656382,0.7954805555555555,SG,False,Saliency_PTY'>
13,True,0.6622222222222223,0.5435754895150966,0.8264395833333333,SG,False,Saliency_PTY'>
14,False,0.6544444444444445,0.5294002677064534,0.8075194444444445,SG,False,Saliency_PTY'>
15,True,0.68,0.5515341210932011,0.841725,SG,False,Saliency_PTY'>
16,True,0.6755555555555556,0.5608431522703352,0.8416576388888889,SG,False,Saliency_PTY'>
17,True,0.6533333333333333,0.5251204839377217,0.8112243055555556,SG,False,Saliency_PTY'>
18,True,0.6588888888888889,0.5464545680524924,0.8246618055555556,SG,False,Saliency_PTY'>
19,True,0.6722222222222223,0.545560521582468,0.8325645833333333,SG,False,Saliency_PTY'>
