,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.6711111111111111,0.6797949465870257,0.8231576388888889,IG,False,Saliency_PTY'>
1,True,0.5777777777777777,0.5601330587922055,0.7368722222222222,IG,False,Saliency_PTY'>
2,False,0.5744444444444444,0.5582770685084228,0.7302222222222222,IG,False,Saliency_PTY'>
3,True,0.6666666666666666,0.6641557512311722,0.8164993055555555,IG,False,Saliency_PTY'>
4,False,0.6033333333333334,0.5794679480809608,0.7529076388888889,IG,False,Saliency_PTY'>
5,True,0.6422222222222222,0.6564502616827161,0.8066847222222222,IG,False,Saliency_PTY'>
6,True,0.6455555555555555,0.6588036826562409,0.8025527777777778,IG,False,Saliency_PTY'>
7,True,0.6633333333333333,0.6745013306900227,0.8144194444444444,IG,False,Saliency_PTY'>
8,True,0.6622222222222223,0.6627688582850815,0.8162208333333333,IG,False,Saliency_PTY'>
9,True,0.6677777777777778,0.6671431252680331,0.8200993055555557,IG,False,Saliency_PTY'>
10,False,0.59,0.5679766894257047,0.7413118055555556,IG,False,Saliency_PTY'>
11,True,0.6277777777777778,0.6441135542720922,0.7903555555555555,IG,False,Saliency_PTY'>
12,False,0.5722222222222222,0.552305240126257,0.7272124999999999,IG,False,Saliency_PTY'>
13,True,0.6588888888888889,0.6605296442527696,0.8043875,IG,False,Saliency_PTY'>
14,True,0.6566666666666666,0.6578965055347369,0.8062125,IG,False,Saliency_PTY'>
15,True,0.6588888888888889,0.6559625692668151,0.8094805555555556,IG,False,Saliency_PTY'>
16,True,0.5822222222222222,0.5686525320970588,0.7326027777777777,IG,False,Saliency_PTY'>
17,True,0.6777777777777778,0.6792096157441828,0.8220548611111111,IG,False,Saliency_PTY'>
18,True,0.5677777777777778,0.562396730538393,0.73248125,IG,False,Saliency_PTY'>
19,False,0.5733333333333334,0.5650309494600795,0.7348041666666667,IG,False,Saliency_PTY'>
