,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,False,0.15444444444444444,0.04689142877976651,0.3559961805555556,GRAD,True,Saliency_PTY'>
1,True,0.35555555555555557,0.4095820832743913,0.6066725694444445,GRAD,True,Saliency_PTY'>
2,True,0.24222222222222223,0.32359957448830945,0.41876701388888893,GRAD,True,Saliency_PTY'>
3,False,0.05444444444444444,0.026158655105112692,0.23977152777777777,GRAD,True,Saliency_PTY'>
4,False,0.042222222222222223,0.03171204541668035,0.21896493055555555,GRAD,True,Saliency_PTY'>
5,False,0.10222222222222223,0.0492656796750469,0.26595972222222225,GRAD,True,Saliency_PTY'>
6,False,0.1288888888888889,0.12835299112124898,0.2956715277777778,GRAD,True,Saliency_PTY'>
7,False,0.43666666666666665,0.3696276353947834,0.6106215277777777,GRAD,True,Saliency_PTY'>
8,False,0.22444444444444445,0.07244073763176198,0.361478125,GRAD,True,Saliency_PTY'>
9,False,0.17777777777777778,0.04940456878844548,0.38316284722222227,GRAD,True,Saliency_PTY'>
10,False,0.10444444444444445,0.08138921708731964,0.2724986111111111,GRAD,True,Saliency_PTY'>
11,True,0.5066666666666667,0.5110639449752734,0.6469072916666666,GRAD,True,Saliency_PTY'>
12,False,0.17444444444444446,0.12606168985953903,0.3792065972222222,GRAD,True,Saliency_PTY'>
13,False,0.16555555555555557,0.14880341293847085,0.2832291666666667,GRAD,True,Saliency_PTY'>
14,True,0.4266666666666667,0.4739468974099099,0.6066062500000001,GRAD,True,Saliency_PTY'>
15,True,0.4266666666666667,0.4782870267879325,0.63576875,GRAD,True,Saliency_PTY'>
16,False,0.2922222222222222,0.23159340453462912,0.4827354166666667,GRAD,True,Saliency_PTY'>
17,False,0.044444444444444446,0.005549824269854457,0.22568541666666667,GRAD,True,Saliency_PTY'>
18,False,0.05444444444444444,0.015499239555675514,0.2248048611111111,GRAD,True,Saliency_PTY'>
19,False,0.07666666666666666,0.05599013016997608,0.22946944444444445,GRAD,True,Saliency_PTY'>
