,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,False,0.1375,0.09032300543127335,0.46206489675516227,GRAD,False,Saliency_PTY'>
1,False,0.008333333333333333,0.09050404704098072,0.5506471238938053,GRAD,False,Saliency_PTY'>
2,False,0.04583333333333333,0.0770622819888205,0.5081969026548673,GRAD,False,Saliency_PTY'>
3,False,0.08333333333333333,0.0743109356068229,0.4075977138643068,GRAD,False,Saliency_PTY'>
4,False,0.016666666666666666,0.023639539040565986,0.4470335545722714,GRAD,False,Saliency_PTY'>
5,False,0.08333333333333333,0.06831285815951733,0.37742072271386434,GRAD,False,Saliency_PTY'>
6,False,0.09166666666666666,0.09185913154293425,0.5181950589970501,GRAD,False,Saliency_PTY'>
7,False,0.075,0.06819474645142681,0.38694690265486725,GRAD,False,Saliency_PTY'>
8,False,0.04583333333333333,0.05394438320319658,0.37144911504424777,GRAD,False,Saliency_PTY'>
9,False,0.004166666666666667,0.021107405123783163,0.351063790560472,GRAD,False,Saliency_PTY'>
10,False,0.12083333333333333,0.07424113496971659,0.43763458702064895,GRAD,False,Saliency_PTY'>
11,False,0.1125,0.11746828662482733,0.605320796460177,GRAD,False,Saliency_PTY'>
12,False,0.020833333333333332,0.03956713295533206,0.44946533923303833,GRAD,False,Saliency_PTY'>
13,False,0.1625,0.1015378236580449,0.48028392330383485,GRAD,False,Saliency_PTY'>
14,False,0.0125,0.0319425556642887,0.4524575958702065,GRAD,False,Saliency_PTY'>
15,False,0.029166666666666667,0.03208261758936044,0.5199575958702065,GRAD,False,Saliency_PTY'>
16,False,0.0,0.019522168447657227,0.44732853982300885,GRAD,False,Saliency_PTY'>
17,False,0.05,0.05211748277166101,0.5528521386430678,GRAD,False,Saliency_PTY'>
18,False,0.0625,0.06329664253363276,0.479577802359882,GRAD,False,Saliency_PTY'>
19,False,0.029166666666666667,0.0362516051203587,0.49848820058997056,GRAD,False,Saliency_PTY'>
