,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,False,0.020833333333333332,0.034133528644089965,0.4811338495575222,GS,False,Saliency_PTY'>
1,False,0.05,0.03324876050160763,0.5075294985250738,GS,False,Saliency_PTY'>
2,False,0.0375,0.03489259788665061,0.4620464601769912,GS,False,Saliency_PTY'>
3,False,0.04583333333333333,0.02634357449010767,0.4710361356932154,GS,False,Saliency_PTY'>
4,False,0.11666666666666667,0.11476446152329808,0.5695003687315634,GS,False,Saliency_PTY'>
5,False,0.0125,0.0156236588022709,0.45079830383480823,GS,False,Saliency_PTY'>
6,False,0.0625,0.03674362375627172,0.5219137168141592,GS,False,Saliency_PTY'>
7,False,0.016666666666666666,0.022973240371222954,0.4834402654867257,GS,False,Saliency_PTY'>
8,False,0.0,0.012672989946517752,0.38226401179941,GS,False,Saliency_PTY'>
9,False,0.0,0.011422691244901534,0.4317311946902655,GS,False,Saliency_PTY'>
10,False,0.23333333333333334,0.17600623664353898,0.6918879056047197,GS,False,Saliency_PTY'>
11,False,0.07083333333333333,0.0493419942066378,0.569491150442478,GS,False,Saliency_PTY'>
12,False,0.15833333333333333,0.12431105537431014,0.6350608407079646,GS,False,Saliency_PTY'>
13,False,0.0625,0.038954354072747936,0.5252267699115043,GS,False,Saliency_PTY'>
14,False,0.17083333333333334,0.14491769597864423,0.6417146017699116,GS,False,Saliency_PTY'>
15,False,0.041666666666666664,0.0285594129009552,0.4596662979351033,GS,False,Saliency_PTY'>
16,False,0.016666666666666666,0.01405407443526811,0.40366703539823007,GS,False,Saliency_PTY'>
17,False,0.029166666666666667,0.032654289197367424,0.48023414454277286,GS,False,Saliency_PTY'>
18,False,0.020833333333333332,0.02099762282045578,0.5033259587020649,GS,False,Saliency_PTY'>
19,False,0.0875,0.05451571295979376,0.5777378318584071,GS,False,Saliency_PTY'>
