,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,False,0.0,0.03737655017220394,0.4414085545722714,SG,False,Saliency_PTY'>
1,False,0.0,0.0148525742694715,0.27778392330383483,SG,False,Saliency_PTY'>
2,False,0.0,0.020020888793620344,0.10052175516224188,SG,False,Saliency_PTY'>
3,False,0.0,0.03227636205473194,0.2914878318584071,SG,False,Saliency_PTY'>
4,False,0.2125,0.1450966089042946,0.7134328908554571,SG,False,Saliency_PTY'>
5,False,0.0,0.03660696366157083,0.3734199852507375,SG,False,Saliency_PTY'>
6,False,0.0,0.01233493752643237,0.250929203539823,SG,False,Saliency_PTY'>
7,False,0.05,0.10224632899668974,0.6570353982300885,SG,False,Saliency_PTY'>
8,False,0.004166666666666667,0.051427732534304216,0.3408683628318584,SG,False,Saliency_PTY'>
9,True,0.21666666666666667,0.19911442079675853,0.7937075958702065,SG,False,Saliency_PTY'>
10,False,0.041666666666666664,0.07520110491645077,0.4728761061946902,SG,False,Saliency_PTY'>
11,False,0.0,0.03340697571345901,0.47041113569321535,SG,False,Saliency_PTY'>
12,False,0.0,0.055901784148343285,0.3598285398230089,SG,False,Saliency_PTY'>
13,False,0.0625,0.1010171176505799,0.6857393067846608,SG,False,Saliency_PTY'>
14,False,0.0,0.040687771009730686,0.38325036873156343,SG,False,Saliency_PTY'>
15,False,0.0,0.025352965911305283,0.2754489306784661,SG,False,Saliency_PTY'>
16,False,0.016666666666666666,0.0710814865556846,0.4345870206489676,SG,False,Saliency_PTY'>
17,False,0.12916666666666668,0.12310165738547563,0.684813790560472,SG,False,Saliency_PTY'>
18,False,0.0,0.007904215853237386,0.2200055309734513,SG,False,Saliency_PTY'>
19,False,0.0,0.04402865215308117,0.31978060471976405,SG,False,Saliency_PTY'>
