,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,False,0.4625,0.2669766241170023,0.8613569321533923,FO,False,Saliency_PTY'>
1,True,0.5,0.2739205034224093,0.7949852507374631,FO,False,Saliency_PTY'>
2,True,0.6291666666666667,0.38375837966881093,0.971976401179941,FO,False,Saliency_PTY'>
3,True,0.4583333333333333,0.27608278504352185,0.8797935103244837,FO,False,Saliency_PTY'>
4,True,0.6333333333333333,0.28102541659489794,0.9019174041297935,FO,False,Saliency_PTY'>
5,True,0.6291666666666667,0.3676245057610179,0.9092920353982301,FO,False,Saliency_PTY'>
6,True,0.6666666666666666,0.3491619256750063,0.8613569321533923,FO,False,Saliency_PTY'>
7,True,0.6666666666666666,0.33266010314224337,0.9498525073746312,FO,False,Saliency_PTY'>
8,True,0.5,0.2333328482476226,0.7949852507374631,FO,False,Saliency_PTY'>
9,True,0.7958333333333333,0.38594180053202143,0.9314159292035399,FO,False,Saliency_PTY'>
10,True,0.4583333333333333,0.21774242791159074,0.7986725663716814,FO,False,Saliency_PTY'>
11,True,0.8,0.31000131006085624,0.9535398230088495,FO,False,Saliency_PTY'>
12,True,0.5,0.2759140529247897,0.831858407079646,FO,False,Saliency_PTY'>
13,True,0.7958333333333333,0.3921490650387102,0.9682890855457227,FO,False,Saliency_PTY'>
14,True,0.7916666666666666,0.38718570383919126,0.8871681415929202,FO,False,Saliency_PTY'>
15,True,0.6666666666666666,0.34996260709875043,0.8539823008849557,FO,False,Saliency_PTY'>
16,True,0.625,0.3310278541454363,0.9498525073746313,FO,False,Saliency_PTY'>
17,True,0.4625,0.2562832103492799,0.9166666666666667,FO,False,Saliency_PTY'>
18,True,0.4625,0.2688643879284385,0.8502949852507375,FO,False,Saliency_PTY'>
19,True,0.6291666666666667,0.3305596034358001,0.9240412979351034,FO,False,Saliency_PTY'>
