,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,False,0.04583333333333333,0.0689848379671322,0.43246865781710914,IG,False,Saliency_PTY'>
1,False,0.05416666666666667,0.08448047819266429,0.5136873156342183,IG,False,Saliency_PTY'>
2,False,0.041666666666666664,0.07070525498569988,0.45351032448377576,IG,False,Saliency_PTY'>
3,False,0.20416666666666666,0.13901024701925274,0.6271570796460176,IG,False,Saliency_PTY'>
4,False,0.08333333333333333,0.09722937923415863,0.5216795722713864,IG,False,Saliency_PTY'>
5,False,0.10833333333333334,0.09908117499104344,0.5191832595870206,IG,False,Saliency_PTY'>
6,False,0.04583333333333333,0.06954795367272337,0.4615578908554572,IG,False,Saliency_PTY'>
7,False,0.07916666666666666,0.09070150680842151,0.5070224926253687,IG,False,Saliency_PTY'>
8,False,0.125,0.11415747724816139,0.561705383480826,IG,False,Saliency_PTY'>
9,True,0.125,0.11333357514598742,0.539830383480826,IG,False,Saliency_PTY'>
10,False,0.10416666666666667,0.10638173288740457,0.5426032448377581,IG,False,Saliency_PTY'>
11,True,0.19166666666666668,0.14436037253857117,0.6204848820058997,IG,False,Saliency_PTY'>
12,False,0.04583333333333333,0.07492816606658581,0.4530051622418879,IG,False,Saliency_PTY'>
13,False,0.075,0.09079527213359195,0.5504019174041298,IG,False,Saliency_PTY'>
14,False,0.020833333333333332,0.06439867634905552,0.45300884955752213,IG,False,Saliency_PTY'>
15,False,0.0125,0.059934834323522604,0.4307983038348082,IG,False,Saliency_PTY'>
16,False,0.125,0.11469949210308472,0.5322676991150443,IG,False,Saliency_PTY'>
17,False,0.0375,0.06278788105339857,0.4055475663716814,IG,False,Saliency_PTY'>
18,False,0.10833333333333334,0.09819826443568443,0.520827802359882,IG,False,Saliency_PTY'>
19,False,0.18333333333333332,0.11307966697480305,0.5269671828908555,IG,False,Saliency_PTY'>
