,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,False,0.1688888888888889,0.15864991831105274,0.743503785103785,FO,True,Saliency_PTY'>
1,False,0.37777777777777777,0.21348364178153756,0.741369474969475,FO,True,Saliency_PTY'>
2,False,0.0044444444444444444,0.060568113420946715,0.5226275946275947,FO,True,Saliency_PTY'>
3,False,0.08888888888888889,0.10792605602760014,0.6367394383394384,FO,True,Saliency_PTY'>
4,False,0.5022222222222222,0.37446773499829716,0.9042774114774116,FO,True,Saliency_PTY'>
5,False,0.21333333333333335,0.1685765492724271,0.6495843711843712,FO,True,Saliency_PTY'>
6,False,0.3466666666666667,0.22390496190108025,0.8057768009768009,FO,True,Saliency_PTY'>
7,False,0.13333333333333333,0.11744468471750306,0.6813938949938949,FO,True,Saliency_PTY'>
8,True,0.5066666666666667,0.3947543663079975,0.7876454212454211,FO,True,Saliency_PTY'>
9,True,0.4622222222222222,0.3064242168388776,0.8754344322344321,FO,True,Saliency_PTY'>
10,True,0.5111111111111111,0.3110548136654987,0.8391443223443222,FO,True,Saliency_PTY'>
11,False,0.2088888888888889,0.15990980481047395,0.7143159951159952,FO,True,Saliency_PTY'>
12,False,0.21777777777777776,0.15256262496363265,0.6290402930402931,FO,True,Saliency_PTY'>
13,False,0.39111111111111113,0.2753846446317739,0.8569416361416361,FO,True,Saliency_PTY'>
14,False,0.3422222222222222,0.2725749681430184,0.8468825396825398,FO,True,Saliency_PTY'>
15,False,0.24444444444444444,0.17186936259230895,0.7007677655677655,FO,True,Saliency_PTY'>
16,False,0.07111111111111111,0.11864173204921179,0.694091330891331,FO,True,Saliency_PTY'>
17,False,0.09333333333333334,0.10988726492626812,0.5938598290598289,FO,True,Saliency_PTY'>
18,True,0.37777777777777777,0.25926809624863806,0.8742544566544566,FO,True,Saliency_PTY'>
19,False,0.1688888888888889,0.14377718055676542,0.6872576312576313,FO,True,Saliency_PTY'>
