,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.3,0.10285714285714286,,FO,False,Saliency_PTY'>
1,True,0.12083333333333333,0.11626297559256141,,FO,False,Saliency_PTY'>
2,False,0.0,,,FO,False,Saliency_PTY'>
3,False,0.0,,,FO,False,Saliency_PTY'>
4,True,0.025,0.06,,FO,False,Saliency_PTY'>
5,True,0.15,0.06545454545454546,,FO,False,Saliency_PTY'>
6,True,0.10833333333333334,0.12,,FO,False,Saliency_PTY'>
7,False,0.0,,,FO,False,Saliency_PTY'>
8,True,0.05,0.1,,FO,False,Saliency_PTY'>
9,False,0.09583333333333334,0.09348314636935189,,FO,False,Saliency_PTY'>
10,False,0.0,,,FO,False,Saliency_PTY'>
11,True,0.10833333333333334,0.10153846153846154,,FO,False,Saliency_PTY'>
12,False,0.075,0.072,,FO,False,Saliency_PTY'>
13,True,0.025,0.12,,FO,False,Saliency_PTY'>
14,True,0.10416666666666667,0.11400000000709667,,FO,False,Saliency_PTY'>
15,False,0.0,,,FO,False,Saliency_PTY'>
16,False,0.0,,,FO,False,Saliency_PTY'>
17,True,0.05,0.12,,FO,False,Saliency_PTY'>
18,True,0.075,0.10314465399452422,,FO,False,Saliency_PTY'>
19,True,0.0875,0.11975641583393454,,FO,False,Saliency_PTY'>
