,AverageSensitivity,MaxSensitivity,method,tsr,explanation
0,2.3968711769719115e-09,7.208937374960292e-08,GRAD,False,Saliency_PTY'>
1,1.300842501985249e-09,1.4643726338592927e-09,GRAD,False,Saliency_PTY'>
2,2.705280082298925e-10,3.4813594817604426e-10,GRAD,False,Saliency_PTY'>
3,1.0518281541337014e-09,2.5754396252763774e-08,GRAD,False,Saliency_PTY'>
4,5.532222615791462e-11,2.376850628073869e-10,GRAD,False,Saliency_PTY'>
5,7.070646146262674e-09,7.470516499543139e-09,GRAD,False,Saliency_PTY'>
6,0.0730498102628083,6.953759961971343e-08,GRAD,False,Saliency_PTY'>
7,6.991591509384858e-11,9.874449531875541e-11,GRAD,False,Saliency_PTY'>
8,2.5171839816110535e-09,3.787490002091091e-09,GRAD,False,Saliency_PTY'>
9,1.45811697477404e-10,2.2718646770621584e-10,GRAD,False,Saliency_PTY'>
10,5.555473887298553e-11,8.554297030325292e-11,GRAD,False,Saliency_PTY'>
11,1.4291643603792142e-10,2.3147912739926944e-10,GRAD,False,Saliency_PTY'>
12,1.7729151393841992e-08,3.9963388654453737e-08,GRAD,False,Saliency_PTY'>
13,2.9081887399277633e-10,1.3545538998291368e-09,GRAD,False,Saliency_PTY'>
14,1.8555115492901255e-10,2.1478011316279673e-10,GRAD,False,Saliency_PTY'>
15,1.8016918562320956e-10,4.621200872906605e-10,GRAD,False,Saliency_PTY'>
16,2.2875287081470262e-10,6.236610824583794e-10,GRAD,False,Saliency_PTY'>
17,2.2609793788083768e-09,6.444558514951659e-08,GRAD,False,Saliency_PTY'>
18,7.425775372092625e-10,1.207982655469208e-09,GRAD,False,Saliency_PTY'>
19,1.4499394931388684e-09,9.953552171615516e-09,GRAD,False,Saliency_PTY'>
