,complexity,method,tsr,explanation
0,3.1072150402614964,DL,True,Saliency_PTY'>
1,3.100997446472869,DL,True,Saliency_PTY'>
2,3.028693787248339,DL,True,Saliency_PTY'>
3,3.0675051640813025,DL,True,Saliency_PTY'>
4,2.968404093493502,DL,True,Saliency_PTY'>
5,2.9396864282007473,DL,True,Saliency_PTY'>
6,3.0961709559233848,DL,True,Saliency_PTY'>
7,3.0694139797345525,DL,True,Saliency_PTY'>
8,3.1133934018992724,DL,True,Saliency_PTY'>
9,3.0684534629405116,DL,True,Saliency_PTY'>
10,3.02196203196297,DL,True,Saliency_PTY'>
11,3.1453944137266303,DL,True,Saliency_PTY'>
12,3.0799981831222056,DL,True,Saliency_PTY'>
13,3.152490231346429,DL,True,Saliency_PTY'>
14,3.1165544993784833,DL,True,Saliency_PTY'>
15,3.133787609258727,DL,True,Saliency_PTY'>
16,3.150781208335122,DL,True,Saliency_PTY'>
17,3.1192406468641205,DL,True,Saliency_PTY'>
18,3.050576973571213,DL,True,Saliency_PTY'>
19,2.9505938222988544,DL,True,Saliency_PTY'>
