,complexity,method,tsr,explanation
0,1.3788298080754275,DLS,False,Saliency_PTY'>
1,1.803082421648856,DLS,False,Saliency_PTY'>
2,1.6825391652720563,DLS,False,Saliency_PTY'>
3,1.6983243765638483,DLS,False,Saliency_PTY'>
4,1.6463331780200126,DLS,False,Saliency_PTY'>
5,2.105463169069602,DLS,False,Saliency_PTY'>
6,1.78395277574069,DLS,False,Saliency_PTY'>
7,1.8262081891181305,DLS,False,Saliency_PTY'>
8,1.619061369115725,DLS,False,Saliency_PTY'>
9,1.215470178334024,DLS,False,Saliency_PTY'>
10,1.8525147619877247,DLS,False,Saliency_PTY'>
11,1.7895390810750398,DLS,False,Saliency_PTY'>
12,1.5908649462452158,DLS,False,Saliency_PTY'>
13,1.716676788606452,DLS,False,Saliency_PTY'>
14,1.9244416884490587,DLS,False,Saliency_PTY'>
15,1.4068831104900332,DLS,False,Saliency_PTY'>
16,1.7206507078282942,DLS,False,Saliency_PTY'>
17,1.891171389496781,DLS,False,Saliency_PTY'>
18,1.48942124209509,DLS,False,Saliency_PTY'>
19,1.685416333668137,DLS,False,Saliency_PTY'>
