,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,False,-0.010246465089381807,True,0.3096278704327673,True,0.11193573769421597,1000,random,uniform,SHAP,10,1,LEFTIST'>
1,False,0.07813165115397909,True,0.40897630178943917,True,0.17335784975322616,1000,random,uniform,SHAP,10,1,LEFTIST'>
2,False,0.11526638892265202,True,0.16393976734160948,True,0.009287920780952284,1000,random,uniform,SHAP,10,1,LEFTIST'>
3,False,0.09682530710149322,True,0.26069009104733065,True,0.2420870245354587,1000,random,uniform,SHAP,10,1,LEFTIST'>
4,False,-0.027129924028487906,True,0.0026525089625622673,True,-0.3584246628260143,1000,random,uniform,SHAP,10,1,LEFTIST'>
5,False,-0.007692228181184312,True,0.11561841678966481,True,0.10301773217532353,1000,random,uniform,SHAP,10,1,LEFTIST'>
6,False,0.06555636635349298,True,-0.03576518467763293,True,-0.14806735694300258,1000,random,uniform,SHAP,10,1,LEFTIST'>
7,False,-0.1781950977583038,True,0.015768720189726766,True,0.3368263485524814,1000,random,uniform,SHAP,10,1,LEFTIST'>
8,False,-0.0019678341410566914,True,0.3547683483810947,True,0.08740168214151695,1000,random,uniform,SHAP,10,1,LEFTIST'>
9,False,0.09072994870701388,True,0.11819147726821257,True,0.3422072598324889,1000,random,uniform,SHAP,10,1,LEFTIST'>
10,False,-0.023113214410548172,True,0.23546226964324202,True,0.09636189807712905,1000,random,uniform,SHAP,10,1,LEFTIST'>
11,False,0.0016061486950188569,True,0.29138699567122767,True,0.02307270438639191,1000,random,uniform,SHAP,10,1,LEFTIST'>
12,False,0.06048326702351708,True,0.0941101878019854,True,0.06284161325771165,1000,random,uniform,SHAP,10,1,LEFTIST'>
13,False,-0.009155063961265131,True,0.047964256466861234,True,-0.28352172317584917,1000,random,uniform,SHAP,10,1,LEFTIST'>
14,False,0.09243226896104155,True,0.24884997813604565,True,0.10188860568908693,1000,random,uniform,SHAP,10,1,LEFTIST'>
15,False,-0.0736040095516543,True,0.35577573308875077,True,0.047832277453681855,1000,random,uniform,SHAP,10,1,LEFTIST'>
16,False,-0.08272595089936234,True,0.13222055618589007,True,-0.010959216051420865,1000,random,uniform,SHAP,10,1,LEFTIST'>
17,False,0.17486834382601893,True,-0.16654794160900585,True,0.35241313890796067,1000,random,uniform,SHAP,10,1,LEFTIST'>
18,False,-0.06974792755954828,True,0.03160018010759536,True,-0.35854589401076725,1000,random,uniform,SHAP,10,1,LEFTIST'>
19,False,0.2431345416994193,True,0.19596297273106156,True,0.382961255260577,1000,random,uniform,SHAP,10,1,LEFTIST'>
