,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,False,0.030830232929741703,True,-0.0901659456855895,True,0.07677337539363335,GS,False,Saliency_PTY'>
1,False,-0.14788770884689217,True,-0.20938069249641988,True,-0.10888272682543824,GS,False,Saliency_PTY'>
2,False,-0.03190760138007203,True,0.20870530850718585,True,0.2912310030574394,GS,False,Saliency_PTY'>
3,False,0.11695725839211643,True,0.13630078813743088,True,-0.10975795462689403,GS,False,Saliency_PTY'>
4,False,-0.20114811542948582,True,-0.12278932811239417,True,-0.08536699782385884,GS,False,Saliency_PTY'>
5,False,0.02929661931862168,True,-0.0073330231047556245,True,-0.07576172955901639,GS,False,Saliency_PTY'>
6,False,-0.008859981997759392,True,0.20055917804588624,True,0.35414267571256663,GS,False,Saliency_PTY'>
7,False,0.08610389708182921,True,-0.02655173353206567,True,-0.3684822568388104,GS,False,Saliency_PTY'>
8,False,0.027087104312263407,True,0.0036741963878243037,True,0.04548916884670233,GS,False,Saliency_PTY'>
9,False,0.17782901797832823,True,-0.14522819120410943,True,0.15964213758144666,GS,False,Saliency_PTY'>
10,False,-0.09335605385432866,True,0.2107319494410795,True,0.05394493593404489,GS,False,Saliency_PTY'>
11,False,0.06502178676999502,True,-0.25920209874561606,True,0.22337549128005396,GS,False,Saliency_PTY'>
12,False,-0.1038440838732508,True,-0.0508890658140493,True,-0.1773460014974853,GS,False,Saliency_PTY'>
13,False,0.1865600787672881,True,0.36992241388463576,True,0.20162388352709315,GS,False,Saliency_PTY'>
14,False,0.012172039373030992,True,-0.1232571508812717,True,-0.05601352222396469,GS,False,Saliency_PTY'>
15,False,-0.061184084575060214,True,-0.011933436539853778,True,-0.22633506020531635,GS,False,Saliency_PTY'>
16,False,0.1378726562107658,True,0.03917895591642629,True,-0.07673144273939948,GS,False,Saliency_PTY'>
17,False,0.031590024511677084,True,0.38617784590314624,True,0.025598020308452808,GS,False,Saliency_PTY'>
18,False,0.2866999811958975,True,0.2337875388722217,True,-0.0020498322914335905,GS,False,Saliency_PTY'>
19,False,0.1893820004457228,True,0.08068855717021607,True,0.11473678566487495,GS,False,Saliency_PTY'>
