,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,False,-0.049156385434807826,True,0.41992667983752785,True,-0.06771280039333369,SG,False,Saliency_PTY'>
1,False,-0.18401169090213537,True,-0.0857328982964706,True,-0.20170965596239937,SG,False,Saliency_PTY'>
2,False,0.07882635934987242,True,-0.006663890550243157,True,0.1559418521638373,SG,False,Saliency_PTY'>
3,False,0.013705448279148751,True,-0.18139381727153694,True,0.058462779085656676,SG,False,Saliency_PTY'>
4,False,0.06580872517420888,True,0.1780854567711546,True,-0.016104320002724243,SG,False,Saliency_PTY'>
5,False,0.04120229263551562,True,0.054511287637822724,True,0.1074338073003092,SG,False,Saliency_PTY'>
6,False,-0.1992001855600785,True,0.030908884514495555,True,0.08599302345642604,SG,False,Saliency_PTY'>
7,False,0.062207774825362314,True,0.2148063109232666,True,0.06493675190154222,SG,False,Saliency_PTY'>
8,False,-0.017695446426820725,True,-0.1043273728174182,True,-0.09241592516922281,SG,False,Saliency_PTY'>
9,False,0.16076650099595774,True,0.159827776702611,True,0.0772185979460882,SG,False,Saliency_PTY'>
10,False,-0.04112759413461568,True,-0.42005979816155153,True,-0.0926653580600207,SG,False,Saliency_PTY'>
11,False,-0.279562150278823,True,-0.0873853733384334,True,0.01295348974139424,SG,False,Saliency_PTY'>
12,False,-0.10144429499276639,True,-0.047723809612607034,True,0.08038532278954819,SG,False,Saliency_PTY'>
13,False,0.05523597498321654,True,-0.2051095883500226,True,-0.012737459396208909,SG,False,Saliency_PTY'>
14,False,-0.005043906909886757,True,0.0174264453713522,True,-0.056104254421186384,SG,False,Saliency_PTY'>
15,False,-0.10524558840838527,True,0.16401455889757757,True,-0.06759480478242906,SG,False,Saliency_PTY'>
16,False,-0.22399077069596735,True,-0.22880804999250856,True,-0.021270934579529843,SG,False,Saliency_PTY'>
17,False,-0.027599155378284647,True,-0.13644955452226154,True,-0.13298587400076395,SG,False,Saliency_PTY'>
18,False,-0.11701428002818365,True,-0.054350926303110045,True,0.05758238034662962,SG,False,Saliency_PTY'>
19,False,0.14046572972050422,True,0.20529746348217476,True,-0.15626029557966345,SG,False,Saliency_PTY'>
