,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,False,-0.1560909299614987,True,-0.0194926078751234,True,-0.6922593651547501,FO,False,Saliency_PTY'>
1,False,0.3058868428943303,True,0.8595435863339408,True,0.08987319629598822,FO,False,Saliency_PTY'>
2,False,0.4006180490673375,True,0.9440457187474398,True,-0.5954251532427076,FO,False,Saliency_PTY'>
3,False,-0.02623160361516076,True,-0.055676565471056615,True,0.8349626230314794,FO,False,Saliency_PTY'>
4,False,-0.11584913569638687,True,-0.9682594250101837,True,0.7671276159250124,FO,False,Saliency_PTY'>
5,False,-0.14905240902635672,True,-0.41479648055385016,True,-0.6660959612277333,FO,False,Saliency_PTY'>
6,False,-0.31828541011759365,True,-0.8677491618871631,True,0.2806859812223992,FO,False,Saliency_PTY'>
7,False,0.2960647156847236,True,0.8832991683121322,True,0.7738833217458321,FO,False,Saliency_PTY'>
8,False,0.11170943519154125,True,-0.3987714709052388,True,0.465842951332422,FO,False,Saliency_PTY'>
9,False,0.4784889071768445,True,0.9829408028777332,True,0.9355729143604888,FO,False,Saliency_PTY'>
10,False,-0.020156922298267085,True,-0.6452162706801032,True,-0.514677415239793,FO,False,Saliency_PTY'>
11,False,-0.2702909189990512,True,-0.9551277228525149,True,0.884048858701133,FO,False,Saliency_PTY'>
12,False,0.2107137262451964,True,0.7886613904217461,True,-0.38672530767256086,FO,False,Saliency_PTY'>
13,False,-0.03744332850441067,True,-0.985947713824228,True,0.6408684486024936,FO,False,Saliency_PTY'>
14,False,-0.2058296714726242,True,-0.894104006854402,True,-0.7658679771738592,FO,False,Saliency_PTY'>
15,False,-0.01859504213244549,True,0.37333645575265406,True,-0.9244198383564478,FO,False,Saliency_PTY'>
16,False,0.0773884933516411,True,0.6075210837011545,True,0.9278330656977342,FO,False,Saliency_PTY'>
17,False,0.2811387187376126,True,0.9728157263159328,True,0.8419745149452538,FO,False,Saliency_PTY'>
18,False,0.0916393807838666,True,0.6305499682807123,True,0.829655735134374,FO,False,Saliency_PTY'>
19,False,-0.3942644593196684,True,-0.9528844340599625,True,-0.09995979456773418,FO,False,Saliency_PTY'>
