,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,False,-0.05375797269596643,True,-0.07746741426960185,True,0.04698010321180886,GRAD,True,Saliency_PTY'>
1,False,0.0669587016463707,True,0.09464324079174959,True,-0.06320741803231153,GRAD,True,Saliency_PTY'>
2,False,0.043042175271736746,True,0.15612453398957,True,0.019660125733930986,GRAD,True,Saliency_PTY'>
3,False,-0.1227410047872174,True,-0.18632629738538828,True,-0.1687878015250033,GRAD,True,Saliency_PTY'>
4,False,0.19365597545332594,True,-0.03134658667842277,True,0.07919850992488275,GRAD,True,Saliency_PTY'>
5,False,-0.12998249738365264,True,-0.01512326001919787,True,-0.1372234131452647,GRAD,True,Saliency_PTY'>
6,False,-0.04970498264258821,True,0.07463532039350933,True,0.2348306097577873,GRAD,True,Saliency_PTY'>
7,False,0.08986645364667711,True,0.11940645130314409,True,0.21875583124038656,GRAD,True,Saliency_PTY'>
8,False,-0.034866183027660404,True,-0.3225360240111822,True,-0.018855614751872862,GRAD,True,Saliency_PTY'>
9,False,-0.21262086345675754,True,-0.21486679379270282,True,-0.006161417890880308,GRAD,True,Saliency_PTY'>
10,False,0.15096262448267544,True,0.13294586042991713,True,-0.0008470278145973481,GRAD,True,Saliency_PTY'>
11,False,-0.0007503217776882384,True,-0.08800159831127648,True,-0.09063106531433474,GRAD,True,Saliency_PTY'>
12,False,0.16536504280854636,True,0.051087709080309386,True,-0.0392197556802202,GRAD,True,Saliency_PTY'>
13,False,-0.056159451258195416,True,-0.11793346214824746,True,0.037684611029317285,GRAD,True,Saliency_PTY'>
14,False,-0.08362827407268504,True,0.13882780662716887,True,0.2920143363671583,GRAD,True,Saliency_PTY'>
15,False,0.0726774705120566,True,0.1170806589999421,True,0.08524328430319343,GRAD,True,Saliency_PTY'>
16,False,0.11806289917827373,True,0.1994840194322289,True,-0.1395234266310994,GRAD,True,Saliency_PTY'>
17,False,0.0679033936125023,True,-0.059256121908627474,True,0.10552286893386686,GRAD,True,Saliency_PTY'>
18,False,0.08086848264810813,True,-0.11119893538545754,True,0.15578518741077624,GRAD,True,Saliency_PTY'>
19,False,-0.03812039864767303,True,0.009327274684765702,True,-0.007755107184786136,GRAD,True,Saliency_PTY'>
