,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,False,-0.056025022201661875,True,-0.4572668961760863,True,-0.48706470016454056,1000,random,uniform,SHAP,10,1,LEFTIST'>
1,False,-0.12242894641749574,True,-0.4990349025337054,True,-0.25037789245696024,1000,random,uniform,SHAP,10,1,LEFTIST'>
2,False,-0.059405723235610663,True,0.016184907291991655,True,-0.038511610486800026,1000,random,uniform,SHAP,10,1,LEFTIST'>
3,False,-0.20312546712937746,True,-0.4084188408507642,True,-0.5124068590227572,1000,random,uniform,SHAP,10,1,LEFTIST'>
4,False,-0.014261011712241969,True,-0.12293138241991981,True,0.022319196816071057,1000,random,uniform,SHAP,10,1,LEFTIST'>
5,False,-0.20552947432295093,True,-0.08834777913886259,True,0.1206674133371858,1000,random,uniform,SHAP,10,1,LEFTIST'>
6,False,0.12941573668948167,True,-0.060069146759247176,True,0.10024787690846815,1000,random,uniform,SHAP,10,1,LEFTIST'>
7,False,0.4572927835700212,True,0.6632269391172033,True,0.4878042605661504,1000,random,uniform,SHAP,10,1,LEFTIST'>
8,False,-0.021666279656326976,True,-0.1988721245814399,True,-0.18367352100223663,1000,random,uniform,SHAP,10,1,LEFTIST'>
9,False,-0.19782760716684775,True,-0.43183144435230325,True,-0.3073649222524246,1000,random,uniform,SHAP,10,1,LEFTIST'>
10,False,0.05105216410340657,True,0.01743967584181609,True,-0.004825758069683446,1000,random,uniform,SHAP,10,1,LEFTIST'>
11,False,-0.1294504842743848,True,-0.35870153199981397,True,0.0525631955795762,1000,random,uniform,SHAP,10,1,LEFTIST'>
12,False,0.1212846262935521,True,-0.14643326678819676,True,0.10098020025916231,1000,random,uniform,SHAP,10,1,LEFTIST'>
13,False,0.21260552725299434,True,0.5611507983921996,True,0.825099009875904,1000,random,uniform,SHAP,10,1,LEFTIST'>
14,False,0.18830971883675104,True,0.08378486703346771,True,0.2718414609684488,1000,random,uniform,SHAP,10,1,LEFTIST'>
15,False,-0.028131108220516163,True,-0.0036916147721567545,True,0.056960318914208254,1000,random,uniform,SHAP,10,1,LEFTIST'>
16,False,-0.22453950026656558,True,-0.0007625281217428122,True,-0.16013372185095587,1000,random,uniform,SHAP,10,1,LEFTIST'>
17,False,0.020470120504602236,True,-0.5120275949773699,True,-0.10694801643250626,1000,random,uniform,SHAP,10,1,LEFTIST'>
18,False,-0.0950669011272371,True,-0.026662729752149825,True,-0.1443793710079664,1000,random,uniform,SHAP,10,1,LEFTIST'>
19,False,0.12496998924248853,True,0.14593829928900362,True,0.3081589445796518,1000,random,uniform,SHAP,10,1,LEFTIST'>
