,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,method,tsr,explanation
0,False,-0.0004730592899525517,True,-0.08663268804325672,True,0.05198989679135321,FO,True,Saliency_PTY'>
1,False,0.11646898316907522,True,0.07701738267898137,True,0.08758670402493096,FO,True,Saliency_PTY'>
2,False,0.11433487146113519,True,-0.019128741536368697,True,-0.008362854943449675,FO,True,Saliency_PTY'>
3,False,0.1942677829701458,True,0.003456172675983858,True,-0.12339339704807051,FO,True,Saliency_PTY'>
4,False,0.06080164391144603,True,0.10057277762740909,True,-0.07754772944234739,FO,True,Saliency_PTY'>
5,False,0.062102485098236605,True,0.0007692292284895274,True,-0.04875544522196368,FO,True,Saliency_PTY'>
6,False,0.007853661186075894,True,-0.18696837661209553,True,0.0007774460359116116,FO,True,Saliency_PTY'>
7,False,-0.09273278531463706,True,-0.2546564498210044,True,0.05484910075199908,FO,True,Saliency_PTY'>
8,False,0.09416680479223266,True,0.011157861298091333,True,0.016707433553448864,FO,True,Saliency_PTY'>
9,False,-0.1509685930141931,True,-0.07482157615566706,True,0.11712569616842011,FO,True,Saliency_PTY'>
10,False,0.04639983039140856,True,0.14975805060315361,True,-0.021593429605668287,FO,True,Saliency_PTY'>
11,False,-0.03390587902115831,True,-0.03916574580408062,True,0.10435871483370829,FO,True,Saliency_PTY'>
12,False,0.039199404721350806,True,0.2327397549674296,True,-0.11075369450179441,FO,True,Saliency_PTY'>
13,False,0.13650761966991837,True,0.16775321684883096,True,-0.058047321314870046,FO,True,Saliency_PTY'>
14,False,0.2837438989260749,True,0.12281864402075118,True,0.3476135848898474,FO,True,Saliency_PTY'>
15,False,0.15925298954289263,True,-0.039743901422002376,True,-0.0346403426272818,FO,True,Saliency_PTY'>
16,False,-0.027536700556317212,True,0.006050883967213481,True,0.03257175514060734,FO,True,Saliency_PTY'>
17,False,0.057508563157908844,True,0.07482323186018398,True,0.07714472641110359,FO,True,Saliency_PTY'>
18,False,0.20785838367680304,True,0.1594626230649658,True,0.06486458160477883,FO,True,Saliency_PTY'>
19,False,0.029083001562419098,True,-0.17179916025072675,True,0.04284343396835734,FO,True,Saliency_PTY'>
