,monoton_uniform,faithfulness_correlation_uniform,monoton_mean,faithfulness_correlation_mean,monoton_synthetic,faithfulness_correlation_synthetic_flex,nb_neighbors,transform_name,segmentator_name,learning_process_name,nb_interpretable_feature,explanation_size,explanation
0,False,0.10511687442740478,True,0.45184095771016053,True,-0.0798967957237855,1000,random,uniform,SHAP,10,1,LEFTIST'>
1,False,0.08829675361809802,True,0.23727697052776023,True,-0.0396593736392379,1000,random,uniform,SHAP,10,1,LEFTIST'>
2,False,0.27533773905948133,True,0.1412294828404261,True,0.19842901332916885,1000,random,uniform,SHAP,10,1,LEFTIST'>
3,False,0.06097531102042668,True,0.20185601251899743,True,0.29557876859762605,1000,random,uniform,SHAP,10,1,LEFTIST'>
4,False,0.09860004995353491,True,0.19747041189423875,True,-0.15062093213770927,1000,random,uniform,SHAP,10,1,LEFTIST'>
5,False,0.09205261528201979,True,0.16346139617505231,True,-0.027664271084119816,1000,random,uniform,SHAP,10,1,LEFTIST'>
6,False,0.16556282007963005,True,0.19902344650738957,True,-0.24721383807571207,1000,random,uniform,SHAP,10,1,LEFTIST'>
7,False,0.10737792563976041,True,0.3364006783663935,True,-0.01750366176076345,1000,random,uniform,SHAP,10,1,LEFTIST'>
8,False,0.17133207010472534,True,0.16219837454621883,True,0.2231447201025897,1000,random,uniform,SHAP,10,1,LEFTIST'>
9,False,0.025065108923630376,True,0.14687457127158002,True,-0.29465469501947417,1000,random,uniform,SHAP,10,1,LEFTIST'>
10,False,-0.010263704303777347,True,0.2105218607909933,True,0.00635450847875063,1000,random,uniform,SHAP,10,1,LEFTIST'>
11,False,0.22236529495946372,True,0.24476374089991237,True,0.045739471817509085,1000,random,uniform,SHAP,10,1,LEFTIST'>
12,False,-0.07033726945226959,True,-0.07149750969716182,True,0.022329791197303835,1000,random,uniform,SHAP,10,1,LEFTIST'>
13,False,0.2507420008123496,True,0.13074012587943687,True,-0.2598858366398844,1000,random,uniform,SHAP,10,1,LEFTIST'>
14,False,-0.025892218922425346,True,0.4279085259314623,True,-0.21821774738527552,1000,random,uniform,SHAP,10,1,LEFTIST'>
15,False,-0.05025465581898764,True,-0.15722197604270294,True,0.14029609241405397,1000,random,uniform,SHAP,10,1,LEFTIST'>
16,False,0.17822479224143747,True,0.26862557126978626,True,-0.2773196476782284,1000,random,uniform,SHAP,10,1,LEFTIST'>
17,False,0.23808522109640487,True,0.28033163166866437,True,-0.0810492593927937,1000,random,uniform,SHAP,10,1,LEFTIST'>
18,False,-0.06327511282934381,True,-0.025854402099187428,True,-0.16276880326128035,1000,random,uniform,SHAP,10,1,LEFTIST'>
19,False,0.40359964899010864,True,0.26539080693204176,True,-0.01376018351582974,1000,random,uniform,SHAP,10,1,LEFTIST'>
