,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.5666666666666667,0.658959341247089,0.5583333333333333,DL,False,Saliency_PTY'>
1,True,0.6333333333333333,0.7205723993089378,0.6516666666666666,DL,False,Saliency_PTY'>
2,True,0.7333333333333333,0.7471166957629988,0.7283333333333333,DL,False,Saliency_PTY'>
3,True,0.7333333333333333,0.7780252599493223,0.73,DL,False,Saliency_PTY'>
4,True,0.5666666666666667,0.6442034481322002,0.505,DL,False,Saliency_PTY'>
5,True,0.6666666666666666,0.7349462121562067,0.69,DL,False,Saliency_PTY'>
6,True,0.6666666666666666,0.7205135586873127,0.63,DL,False,Saliency_PTY'>
7,True,0.7,0.6779435186132273,0.6283333333333334,DL,False,Saliency_PTY'>
8,True,0.6666666666666666,0.7048137790576909,0.6599999999999999,DL,False,Saliency_PTY'>
9,True,0.7333333333333333,0.7584404947018198,0.7633333333333333,DL,False,Saliency_PTY'>
10,True,0.6,0.6836885879373452,0.6183333333333333,DL,False,Saliency_PTY'>
11,True,0.5666666666666667,0.6158983765114624,0.48999999999999994,DL,False,Saliency_PTY'>
12,True,0.7,0.7601349927207004,0.6816666666666666,DL,False,Saliency_PTY'>
13,False,0.6333333333333333,0.6357784943062844,0.545,DL,False,Saliency_PTY'>
14,True,0.5666666666666667,0.6754424613848182,0.525,DL,False,Saliency_PTY'>
15,True,0.5666666666666667,0.6251627446574928,0.51,DL,False,Saliency_PTY'>
16,True,0.6666666666666666,0.670534074878319,0.6199999999999999,DL,False,Saliency_PTY'>
17,True,0.7,0.7137970390828466,0.7016666666666668,DL,False,Saliency_PTY'>
18,True,0.5333333333333333,0.6366721321340755,0.4616666666666667,DL,False,Saliency_PTY'>
19,True,0.6666666666666666,0.6994429706419637,0.5966666666666667,DL,False,Saliency_PTY'>
