,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.36666666666666664,0.5178101894999526,0.2633333333333333,DL,True,Saliency_PTY'>
1,True,0.5333333333333333,0.5083731153955214,0.4358333333333333,DL,True,Saliency_PTY'>
2,True,0.6,0.9191033761892192,0.6675,DL,True,Saliency_PTY'>
3,True,0.5666666666666667,0.613433493959831,0.45000000000000007,DL,True,Saliency_PTY'>
4,True,0.6333333333333333,0.8416514303816709,0.6225,DL,True,Saliency_PTY'>
5,True,0.6333333333333333,0.6608718818604549,0.5458333333333333,DL,True,Saliency_PTY'>
6,True,0.6,0.8692226867850644,0.6525,DL,True,Saliency_PTY'>
7,True,0.5666666666666667,0.8458787316143781,0.6216666666666667,DL,True,Saliency_PTY'>
8,True,0.6333333333333333,0.911009865149978,0.6608333333333334,DL,True,Saliency_PTY'>
9,True,0.5333333333333333,0.5542779666716589,0.485,DL,True,Saliency_PTY'>
10,True,0.5,0.5564676150595312,0.4033333333333334,DL,True,Saliency_PTY'>
11,False,0.6,0.5420127059719835,0.48666666666666664,DL,True,Saliency_PTY'>
12,False,0.5333333333333333,0.4755856017513816,0.4508333333333333,DL,True,Saliency_PTY'>
13,True,0.6333333333333333,0.8369741716295368,0.6191666666666666,DL,True,Saliency_PTY'>
14,True,0.6333333333333333,0.7547653250822994,0.5991666666666666,DL,True,Saliency_PTY'>
15,False,0.7,0.5875471645876155,0.6733333333333333,DL,True,Saliency_PTY'>
16,True,0.6,0.8656363801603009,0.6216666666666666,DL,True,Saliency_PTY'>
17,True,0.6,0.9021171537765512,0.6575,DL,True,Saliency_PTY'>
18,True,0.6333333333333333,0.6337695985291788,0.5666666666666667,DL,True,Saliency_PTY'>
19,True,0.5333333333333333,0.6311589968793507,0.5108333333333334,DL,True,Saliency_PTY'>
