,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.6333333333333333,0.658119514914191,0.5541666666666667,SG,True,Saliency_PTY'>
1,False,0.5333333333333333,0.6228495314474884,0.515,SG,True,Saliency_PTY'>
2,False,0.6333333333333333,0.7632293159579477,0.6341666666666668,SG,True,Saliency_PTY'>
3,True,0.7333333333333333,0.7575129637833353,0.6708333333333333,SG,True,Saliency_PTY'>
4,True,0.5666666666666667,0.437952575300322,0.3441666666666666,SG,True,Saliency_PTY'>
5,True,0.6666666666666666,0.7136022540261218,0.6308333333333334,SG,True,Saliency_PTY'>
6,False,0.5666666666666667,0.5785500364079522,0.48000000000000004,SG,True,Saliency_PTY'>
7,True,0.5666666666666667,0.5654021114988896,0.48000000000000004,SG,True,Saliency_PTY'>
8,True,0.5666666666666667,0.6462366139077635,0.5491666666666667,SG,True,Saliency_PTY'>
9,True,0.5,0.5508833753936017,0.4466666666666667,SG,True,Saliency_PTY'>
10,True,0.6,0.6418174112564968,0.5416666666666666,SG,True,Saliency_PTY'>
11,True,0.6333333333333333,0.6416096929219766,0.57,SG,True,Saliency_PTY'>
12,True,0.5,0.6421307311135169,0.525,SG,True,Saliency_PTY'>
13,True,0.6,0.6550505275676854,0.5691666666666667,SG,True,Saliency_PTY'>
14,False,0.4666666666666667,0.4915649728359401,0.37916666666666665,SG,True,Saliency_PTY'>
15,True,0.6,0.6508715795526525,0.5558333333333333,SG,True,Saliency_PTY'>
16,False,0.6333333333333333,0.6702319885289583,0.5825,SG,True,Saliency_PTY'>
17,False,0.5333333333333333,0.5578807783705576,0.46749999999999997,SG,True,Saliency_PTY'>
18,True,0.5666666666666667,0.6096391159469384,0.49083333333333334,SG,True,Saliency_PTY'>
19,True,0.5,0.5027137655448294,0.3958333333333333,SG,True,Saliency_PTY'>
