,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.8,0.8436676269960628,0.575,FA,True,Saliency_PTY'>
1,True,0.775,0.799868887213383,0.45375,FA,True,Saliency_PTY'>
2,True,0.775,0.835404777354233,0.44625,FA,True,Saliency_PTY'>
3,True,0.825,0.8507072509369478,0.585,FA,True,Saliency_PTY'>
4,True,0.775,0.8377856129843652,0.4975,FA,True,Saliency_PTY'>
5,True,0.85,0.9673373915353836,0.7662500000000001,FA,True,Saliency_PTY'>
6,True,0.775,0.8126689218083135,0.45375,FA,True,Saliency_PTY'>
7,True,0.8,0.8913734090788176,0.6775000000000001,FA,True,Saliency_PTY'>
8,True,0.775,0.8051095805075484,0.41875,FA,True,Saliency_PTY'>
9,True,0.85,0.9340744023695482,0.7075000000000001,FA,True,Saliency_PTY'>
10,True,0.775,0.7663456393387763,0.40375,FA,True,Saliency_PTY'>
11,True,0.775,0.8100427015658332,0.44375000000000003,FA,True,Saliency_PTY'>
12,True,0.775,0.7827977326065968,0.4375,FA,True,Saliency_PTY'>
13,True,0.775,0.7941932862388899,0.38125,FA,True,Saliency_PTY'>
14,True,0.775,0.8558734491888285,0.525,FA,True,Saliency_PTY'>
15,True,0.8,0.8318180571575365,0.51875,FA,True,Saliency_PTY'>
16,True,0.775,0.7738946096701255,0.40125,FA,True,Saliency_PTY'>
17,True,0.8,0.8121018622142987,0.51,FA,True,Saliency_PTY'>
18,False,0.8,0.7406008856380651,0.40375000000000005,FA,True,Saliency_PTY'>
19,True,0.8,0.8531874008371481,0.6237499999999999,FA,True,Saliency_PTY'>
