,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.875,0.9129066750320434,0.8225,DLS,False,Saliency_PTY'>
1,True,0.925,0.9527853692332807,0.9225,DLS,False,Saliency_PTY'>
2,True,0.9,0.9338978141598013,0.91,DLS,False,Saliency_PTY'>
3,True,0.85,0.8930964440660849,0.7699999999999999,DLS,False,Saliency_PTY'>
4,True,0.925,0.9386058472173047,0.9175,DLS,False,Saliency_PTY'>
5,True,0.95,0.9417184153045505,0.9275,DLS,False,Saliency_PTY'>
6,True,0.875,0.889860356079695,0.77,DLS,False,Saliency_PTY'>
7,True,0.85,0.9088497049094322,0.7675,DLS,False,Saliency_PTY'>
8,True,0.9,0.9076222326917296,0.83,DLS,False,Saliency_PTY'>
9,True,0.875,0.918476258517303,0.8175,DLS,False,Saliency_PTY'>
10,True,0.9,0.9337597130794056,0.905,DLS,False,Saliency_PTY'>
11,True,0.9,0.935060267325342,0.8899999999999999,DLS,False,Saliency_PTY'>
12,True,0.925,0.9182559347373929,0.8674999999999999,DLS,False,Saliency_PTY'>
13,True,0.875,0.8880477204161049,0.75,DLS,False,Saliency_PTY'>
14,True,0.925,0.92190369812761,0.885,DLS,False,Saliency_PTY'>
15,True,0.925,0.9519656601356921,0.9425,DLS,False,Saliency_PTY'>
16,True,0.925,0.9586940350198844,0.9,DLS,False,Saliency_PTY'>
17,True,0.925,0.922154840190629,0.8825,DLS,False,Saliency_PTY'>
18,True,0.85,0.8915879511322191,0.76,DLS,False,Saliency_PTY'>
19,True,0.825,0.8773675449153332,0.7125,DLS,False,Saliency_PTY'>
