,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,True,0.775,1.0,0.825,DL,True,Saliency_PTY'>
1,True,0.775,0.902046150939707,0.5725,DL,True,Saliency_PTY'>
2,True,0.775,0.9752853049032425,0.665,DL,True,Saliency_PTY'>
3,True,0.775,0.7822598167437118,0.47250000000000003,DL,True,Saliency_PTY'>
4,True,0.775,0.8449605491806068,0.5887499999999999,DL,True,Saliency_PTY'>
5,True,0.775,0.9415961795253703,0.625,DL,True,Saliency_PTY'>
6,True,0.775,0.9022930934604196,0.6700000000000002,DL,True,Saliency_PTY'>
7,True,0.775,0.8450453335259727,0.5499999999999999,DL,True,Saliency_PTY'>
8,True,0.775,0.915540596024815,0.7362500000000001,DL,True,Saliency_PTY'>
9,True,0.775,0.9750162784035254,0.685,DL,True,Saliency_PTY'>
10,True,0.775,0.9082169162951054,0.595,DL,True,Saliency_PTY'>
11,True,0.775,0.9613239143320232,0.6599999999999999,DL,True,Saliency_PTY'>
12,True,0.775,0.9782728462694005,0.6675,DL,True,Saliency_PTY'>
13,True,0.775,0.8867136910332474,0.5875,DL,True,Saliency_PTY'>
14,True,0.775,0.9605536057205806,0.6425,DL,True,Saliency_PTY'>
15,True,0.775,0.884831270482431,0.61,DL,True,Saliency_PTY'>
16,True,0.775,1.0,0.825,DL,True,Saliency_PTY'>
17,True,0.775,0.9719707596826518,0.6775,DL,True,Saliency_PTY'>
18,True,0.775,0.858788275670504,0.5925,DL,True,Saliency_PTY'>
19,True,0.775,0.9264293593372032,0.73375,DL,True,Saliency_PTY'>
