,Pointing,Relevance Rank,Relevance Mass,AuC,method,tsr,explanation
0,False,0.0,0.07849845679207487,0.4053030303030303,GRAD,False,Saliency_PTY'>
1,False,0.16666666666666666,0.1188945450970722,0.5378787878787878,GRAD,False,Saliency_PTY'>
2,True,0.5,0.2606869033278227,0.6363636363636364,GRAD,False,Saliency_PTY'>
3,True,0.6666666666666666,0.40795999631471125,0.9659090909090908,GRAD,False,Saliency_PTY'>
4,True,0.8333333333333334,0.39671744578203877,0.9924242424242424,GRAD,False,Saliency_PTY'>
5,True,0.6666666666666666,0.34731209921406814,0.9583333333333333,GRAD,False,Saliency_PTY'>
6,False,0.3333333333333333,0.17691301103106352,0.5378787878787878,GRAD,False,Saliency_PTY'>
7,False,0.0,0.09680383939585809,0.4356060606060606,GRAD,False,Saliency_PTY'>
8,False,0.16666666666666666,0.19850930867672095,0.7954545454545454,GRAD,False,Saliency_PTY'>
9,True,0.8333333333333334,0.3669649405527711,0.9924242424242424,GRAD,False,Saliency_PTY'>
10,False,0.0,0.08330600044807147,0.48863636363636365,GRAD,False,Saliency_PTY'>
11,True,0.5,0.24082330221392706,0.8863636363636364,GRAD,False,Saliency_PTY'>
12,False,0.0,0.1078364841976727,0.5113636363636364,GRAD,False,Saliency_PTY'>
13,True,0.3333333333333333,0.2247614286812209,0.7916666666666666,GRAD,False,Saliency_PTY'>
14,False,0.5,0.24996054281659097,0.8901515151515151,GRAD,False,Saliency_PTY'>
15,True,0.3333333333333333,0.22736784688002695,0.7386363636363636,GRAD,False,Saliency_PTY'>
16,False,0.5,0.28440030448087683,0.8977272727272727,GRAD,False,Saliency_PTY'>
17,False,0.0,0.11742684422328183,0.5151515151515151,GRAD,False,Saliency_PTY'>
18,True,0.6666666666666666,0.3332456295497099,0.9696969696969697,GRAD,False,Saliency_PTY'>
19,True,0.6666666666666666,0.2925716685082264,0.928030303030303,GRAD,False,Saliency_PTY'>
